scenario,variant,feature_level,split,metric,mean,std,chance,permutation_mean,permutation_std
AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_policy,accuracy,0.4882609882609883,0.04819866015481508,0.5,0.49041760061496903,0.005112193699880133
AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_policy,macro_f1,0.47876330822067253,0.05620569714784002,0.5,0.48001848267596803,0.007345853927529544
AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_policy,roc_auc,0.49163954021383216,0.07461595132123247,0.5,0.5072128951874265,0.0059352322497858295
AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_task,accuracy,0.4583333333333333,0.04823265376162596,0.5,0.5050347222222222,0.00979326720567396
AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_task,macro_f1,0.45642892684222564,0.04630252083837757,0.5,0.5029203127255091,0.009569974793897125
AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_task,roc_auc,0.4633333333333333,0.04484154199945503,0.5,0.5066942094607183,0.010542117865107559
AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,grouped_entity,accuracy,0.42516339869281045,0.109066393700658,0.5,0.499234068627451,0.013956494259595956
AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,grouped_entity,macro_f1,0.42450558043347014,0.10941334959796212,0.5,0.4951178322258576,0.014043303873446706
AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,grouped_entity,roc_auc,0.47069648692810456,0.09886467450284064,0.5,0.5032800036854501,0.008144570628521235
AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_policy,accuracy,0.5,0.0,0.5,0.4932243846717531,0.012529953501733743
AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_policy,macro_f1,0.3333333333333333,0.0,0.5,0.472205636010358,0.014169092053660222
AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_policy,roc_auc,0.5,0.0,0.5,0.49848409636724944,0.014457564072563184
AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_task,accuracy,0.5,0.0,0.5,0.5296875,0.0034020690871988464
AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_task,macro_f1,0.3333333333333333,0.0,0.5,0.3461447263120749,0.0014722109420454252
AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_task,roc_auc,0.5,0.0,0.5,0.5,0.0
AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,grouped_entity,accuracy,0.5,0.0,0.5,0.49607843137254903,0.008623974576260657
AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,grouped_entity,macro_f1,0.3333333333333333,0.0,0.5,0.4810251173587511,0.014061104402760902
AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,grouped_entity,roc_auc,0.5,0.0,0.5,0.5030406998867665,0.006974078210048328
EXTRA_VERIFICATION,B0-NATURAL,FULL_ORAM,cross_policy,accuracy,1.0,0.0,0.5,0.506583954806994,0.006006439871684229
EXTRA_VERIFICATION,B0-NATURAL,FULL_ORAM,cross_policy,macro_f1,1.0,0.0,0.5,0.4996819987279677,0.007816663846125378
EXTRA_VERIFICATION,B0-NATURAL,FULL_ORAM,cross_policy,roc_auc,1.0,0.0,0.5,0.5035741025942311,0.012658682466808005
EXTRA_VERIFICATION,B0-NATURAL,FULL_ORAM,cross_task,accuracy,1.0,0.0,0.5,0.5092013888888889,0.004684283876122261
