seed,scenario,variant,feature_level,split,metric,value,chance,permutation
0,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_task,accuracy,0.5,0.5,0.5296875
0,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_task,macro_f1,0.3333333333333333,0.5,0.3461563304415489
0,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_task,roc_auc,0.5,0.5,0.5
0,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,grouped_entity,accuracy,0.425,0.5,0.5
0,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,grouped_entity,macro_f1,0.42464040025015637,0.5,0.4961569334372541
0,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,grouped_entity,roc_auc,0.4775,0.5,0.5059039557029429
0,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_policy,accuracy,0.5,0.5,0.48410087719298245
0,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_policy,macro_f1,0.49119097956307256,0.5,0.47025762090183076
0,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_policy,roc_auc,0.5460526315789473,0.5,0.49947786446887976
0,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_task,accuracy,0.4375,0.5,0.4927083333333333
0,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_task,macro_f1,0.43741209563994377,0.5,0.4909444404867085
0,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_task,roc_auc,0.43875,0.5,0.49450392746589517
0,PROVENANCE,B0-NATURAL,STRUCTURAL,grouped_entity,accuracy,1.0,0.5,0.5074404761904762
0,PROVENANCE,B0-NATURAL,STRUCTURAL,grouped_entity,macro_f1,1.0,0.5,0.4962233935273315
0,PROVENANCE,B0-NATURAL,STRUCTURAL,grouped_entity,roc_auc,1.0,0.5,0.5258189958279451
0,PROVENANCE,B0-NATURAL,STRUCTURAL,cross_policy,accuracy,1.0,0.5,0.5
0,PROVENANCE,B0-NATURAL,STRUCTURAL,cross_policy,macro_f1,1.0,0.5,0.48810572760523435
0,PROVENANCE,B0-NATURAL,STRUCTURAL,cross_policy,roc_auc,1.0,0.5,0.49849328428148176
0,PROVENANCE,B0-NATURAL,STRUCTURAL,cross_task,accuracy,1.0,0.5,0.5005208333333333
0,PROVENANCE,B0-NATURAL,STRUCTURAL,cross_task,macro_f1,1.0,0.5,0.47040811760151613
0,PROVENANCE,B0-NATURAL,STRUCTURAL,cross_task,roc_auc,1.0,0.5,0.5006373603957903
0,PROVENANCE,B0-NATURAL,FULL_ORAM,grouped_entity,accuracy,1.0,0.5,0.5074404761904762
0,PROVENANCE,B0-NATURAL,FULL_ORAM,grouped_entity,macro_f1,1.0,0.5,0.4962233935273315
0,PROVENANCE,B0-NATURAL,FULL_ORAM,grouped_entity,roc_auc,1.0,0.5,0.5258189958279451
0,PROVENANCE,B0-NATURAL,FULL_ORAM,cross_policy,accuracy,1.0,0.5,0.5
0,PROVENANCE,B0-NATURAL,FULL_ORAM,cross_policy,macro_f1,1.0,0.5,0.48810572760523435
0,PROVENANCE,B0-NATURAL,FULL_ORAM,cross_policy,roc_auc,1.0,0.5,0.49849328428148176
0,PROVENANCE,B0-NATURAL,FULL_ORAM,cross_task,accuracy,1.0,0.5,0.5005208333333333
0,PROVENANCE,B0-NATURAL,FULL_ORAM,cross_task,macro_f1,1.0,0.5,0.47040811760151613
0,PROVENANCE,B0-NATURAL,FULL_ORAM,cross_task,roc_auc,1.0,0.5,0.5006373603957903
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,grouped_entity,accuracy,1.0,0.5,0.49702380952380953
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,grouped_entity,macro_f1,1.0,0.5,0.48900642003812134
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,grouped_entity,roc_auc,1.0,0.5,0.5235104377522694
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_policy,accuracy,1.0,0.5,0.5025406504065041
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_policy,macro_f1,1.0,0.5,0.4913848235738541
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_policy,roc_auc,1.0,0.5,0.5020880503035734
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_task,accuracy,1.0,0.5,0.5026041666666666
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_task,macro_f1,1.0,0.5,0.46441194437274524
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_task,roc_auc,1.0,0.5,0.5006373603957903
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,grouped_entity,accuracy,1.0,0.5,0.4955357142857143
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,grouped_entity,macro_f1,1.0,0.5,0.4915162778833917
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,grouped_entity,roc_auc,1.0,0.5,0.5278994033785712
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_policy,accuracy,1.0,0.5,0.5066056910569106
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_policy,macro_f1,1.0,0.5,0.5004021288304047
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_policy,roc_auc,1.0,0.5,0.5103019088334796
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_task,accuracy,1.0,0.5,0.5041666666666667
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_task,macro_f1,1.0,0.5,0.5028918170834153
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_task,roc_auc,1.0,0.5,0.5191600804399793
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,grouped_entity,accuracy,0.5,0.5,0.5133928571428571
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,grouped_entity,macro_f1,0.3333333333333333,0.5,0.49825928919050794
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,grouped_entity,roc_auc,0.5,0.5,0.5245152898500421
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_policy,accuracy,0.5,0.5,0.49136178861788615
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_policy,macro_f1,0.3333333333333333,0.5,0.45446995242957494
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_policy,roc_auc,0.5,0.5,0.4889621815502019
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_task,accuracy,0.5,0.5,0.5296875
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_task,macro_f1,0.3333333333333333,0.5,0.3461563304415489
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_task,roc_auc,0.5,0.5,0.5
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,grouped_entity,accuracy,0.42857142857142855,0.5,0.49702380952380953
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,grouped_entity,macro_f1,0.42857142857142855,0.5,0.4928316729322174
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,grouped_entity,roc_auc,0.4362244897959184,0.5,0.4899594117790401
