seed,scenario,variant,private_branch,episodes,mean_private_operations,mean_dummy_operations,dummy_fraction,mean_oram_accesses,mean_wire_bytes,mean_visible_rounds,mean_latency_us,mean_effect_latency_us,mean_trusted_state_bytes
2,PROVENANCE,B0-NATURAL,1,80,5,0,0.0,0,3245,4,48.36375,39.6025,544
2,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,0,80,3,6,0.6666666666666666,9,4602,3,200.61625,130.45625,544
2,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,1,80,5,7,0.5833333333333334,12,5982,4,282.77375,207.5525,545.6
2,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,0,80,3,12,0.8,15,7362,5,341.425,263.96500000000003,544
2,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,1,80,5,10,0.6666666666666666,15,7362,5,355.39625,276.87625,544.8
2,EXTRA_VERIFICATION,B0-NATURAL,0,80,3,0,0.0,0,2304,3,39.67375,30.86375,544
2,EXTRA_VERIFICATION,B0-NATURAL,1,80,4,0,0.0,0,2773,4,44.855,35.51125,544
2,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,0,80,3,6,0.6666666666666666,9,4602,3,206.82875,133.45125,544
2,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,1,80,4,8,0.6666666666666666,12,5982,4,272.525,198.60625,544
2,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,0,80,3,12,0.8,15,7362,5,354.3125,276.5425,544
2,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,1,80,4,11,0.7333333333333333,15,7362,5,358.68625,281.81,544
