data_record_bytes,permission_record_bytes,history_record_bytes,architecture,privacy,logical_accesses,physical_paths,physical_blocks,physical_blocks_4k_equiv,bytes_action,tree_storage_bytes,position_map_bytes,stash_bytes,trusted_state_bytes,dummy_fraction,rounds_serial,rounds_parallel,local_compute_us,storage_amplification,read_write_amplification,logical_block_counts,block_sizes,tree_heights
512,64,1024,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,480.0,480.0,1966080.0,134086656,30696,6144,36840,0,6,6,108.0,15.86046511627907,1228.8,packed-pages:2558,packed:4096,8 partitions:9
512,64,1024,HYBRID-P,pass,3,3,320,66.0,270336,67102720,49152,6144,120832,0.3333333333333333,3,2,54,7.9372577519379846,168.96,data:8192;hist:4096,data:512;hist:1024,data:13;hist:12
512,64,1024,HYBRID-PH,pass,1,1,112,14.0,57344,33552384,32768,6144,4298752,0.5,1,1,18,3.96875,35.84,data:8192,data:512,data:13
512,64,1024,SCAN-PERMISSION,pass,3,3,320,82.0,335872,67168256,49152,6144,55296,0.25,3,3,54,7.945009689922481,209.92,data:8192;hist:4096;perm-scan:1024,data:512;hist:1024;perm:64,data:13;hist:12;perm:scan
512,64,1024,SCAN-HISTORY,pass,2,2,200,2063.375,8451584,38270720,36864,6144,43008,0.3333333333333333,2,3,36,4.526859253875969,5282.24,data:8192;perm:1024;hist-scan:4096,data:512;perm:64;hist:1024,data:13;perm:10;hist:scan
512,64,1024,SCAN-BOTH,pass,1,1,112,2078.0,8511488,37812224,32768,6144,38912,0.3333333333333333,1,3,18,4.472625968992248,5319.68,data:8192;perm-scan:1024;hist-scan:4096,data:512;perm:64;hist:1024,data:13;perm:scan;hist:scan
512,128,64,MODULAR-ORAM,leak,3,3,300.0,12.1875,49920.0,36697344,53248,3072,56320,0,3,3,54,7.999386160714286,70.9090909090909,data:8192;perm:1024;hist:4096,data:512;perm:128;hist:64,data:13;perm:10;hist:12
512,128,64,NAIVE-FIXED,pass,4,4,408,20.0,81920,36697344,53248,3072,56576,0.25,4,3,72,7.999386160714286,116.36363636363636,data:8192;perm:1024;hist:4096,data:512;perm:128;hist:64,data:13;perm:10;hist:12
512,128,64,CANONICAL-MODULAR,pass,4,4,408,20.0,81920,36697344,53248,3072,56576,0.25,4,3,72,7.999386160714286,116.36363636363636,data:8192;perm:1024;hist:4096,data:512;perm:128;hist:64,data:13;perm:10;hist:12
512,128,64,UNIFIED-FIXED,pass,3,3,360,45.0,184320,67106816,53248,3072,56320,0,3,3,54,14.628125,261.8181818181818,unified:13312,unified:512,unified:14
