history_records,architecture,privacy,logical_accesses,physical_paths,physical_blocks,physical_blocks_4k_equiv,bytes_action,tree_storage_bytes,position_map_bytes,stash_bytes,trusted_state_bytes,dummy_fraction,rounds_serial,rounds_parallel,local_compute_us,storage_amplification,read_write_amplification,logical_block_counts,block_sizes,tree_heights
1024,HYBRID-P,pass,3,3,288,123.0,503808,270515200,36864,24576,192512,0.3333333333333333,3,2,54,7.96859917953668,112.45714285714286,data:8192;hist:1024,data:4096;hist:256,data:13;hist:10
1024,HYBRID-PH,pass,1,1,112,112.0,458752,268419072,32768,24576,450560,0.5,1,1,18,7.906853281853282,102.4,data:8192,data:4096,data:13
1024,SCAN-PERMISSION,pass,3,3,288,155.0,634880,270646272,36864,24576,61440,0.25,3,3,54,7.972460183397684,141.71428571428572,data:8192;hist:1024;perm-scan:1024,data:4096;hist:256;perm:128,data:13;hist:10;perm:scan
1024,SCAN-HISTORY,pass,2,2,200,242.75,994304,269729280,36864,24576,61440,0.3333333333333333,2,3,36,7.945448238416988,221.94285714285715,data:8192;perm:1024;hist-scan:1024,data:4096;perm:128;hist:256,data:13;perm:10;hist:scan
1024,SCAN-BOTH,pass,1,1,112,272.0,1114112,268812288,32768,24576,57344,0.3333333333333333,1,3,18,7.918436293436294,248.68571428571428,data:8192;perm-scan:1024;hist-scan:1024,data:4096;perm:128;hist:256,data:13;perm:scan;hist:scan
4096,MODULAR-ORAM,leak,3,3,300.0,68.5,280576.0,277854720,53248,24576,77824,0,3,3,54,7.9994840801886795,62.628571428571426,data:8192;perm:1024;hist:4096,data:4096;perm:128;hist:256,data:13;perm:10;hist:12
4096,NAIVE-FIXED,pass,4,4,408,127.75,523264,277854720,53248,24576,78080,0.25,4,3,72,7.9994840801886795,116.8,data:8192;perm:1024;hist:4096,data:4096;perm:128;hist:256,data:13;perm:10;hist:12
4096,CANONICAL-MODULAR,pass,4,4,408,127.75,523264,277854720,53248,24576,78080,0.25,4,3,72,7.9994840801886795,116.8,data:8192;perm:1024;hist:4096,data:4096;perm:128;hist:256,data:13;perm:10;hist:12
4096,UNIFIED-FIXED,pass,3,3,360,360.0,1474560,536854528,53248,24576,77824,0,3,3,54,15.456132075471698,329.14285714285717,unified:13312,unified:4096,unified:14
4096,UNIFIED-PACKED,pass,3.0,3.0,360.0,360.0,1474560.0,536854528,34012,24576,58588,0,3,3,54.0,15.456132075471698,329.14285714285717,packed-pages:8503,packed:4096,unified-packed:14
4096,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,576.0,576.0,2359296.0,536739840,102036,24576,126612,0,6,6,108.0,15.452830188679245,526.6285714285714,packed-pages:8503,packed:4096,8 partitions:11
4096,HYBRID-P,pass,3,3,320,125.0,512000,276806656,49152,24576,204800,0.3333333333333333,3,2,54,7.969310141509434,114.28571428571429,data:8192;hist:4096,data:4096;hist:256,data:13;hist:12
4096,HYBRID-PH,pass,1,1,112,112.0,458752,268419072,32768,24576,1236992,0.5,1,1,18,7.7278301886792455,102.4,data:8192,data:4096,data:13
4096,SCAN-PERMISSION,pass,3,3,320,157.0,643072,276937728,49152,24576,73728,0.25,3,3,54,7.973083726415094,143.54285714285714,data:8192;hist:4096;perm-scan:1024,data:4096;hist:256;perm:128,data:13;hist:12;perm:scan
