runtime,phase,cadence,variant,episodes,delta_ms,overflow_rate,deadline_miss_rate,mean_latency_ms,throughput_eps,dummy_fraction,idle_fraction
Microsoft Agent Framework,DEVELOPMENT,P90,M3,96,1.914,0.5416666666666666,0.0125,9.689335416666667,103.2062527508229,0.6083333333333333,0.7627320619993034
Microsoft Agent Framework,DEVELOPMENT,P95,M3,96,2.0118,0.4895833333333333,0.008333333333333333,10.139234375,98.62677624512453,0.5979166666666667,0.7719644721145243
Microsoft Agent Framework,DEVELOPMENT,P99,M3,96,3.2921,0.13541666666666666,0.02291666666666667,16.669192708333334,59.99090762806262,0.5270833333333333,0.858249673460709
Microsoft Agent Framework,DEVELOPMENT,P99+1MS,M3,96,4.2921,0.0,0.016666666666666666,21.5629125,46.375924402605634,0.5,0.8928493627827869
Microsoft Agent Framework,FINAL_TEST,P99+1MS,M2,192,4.2921,0.0,0.0,10.23780625,97.67717571330283,0.540625,0.7263049973408141
Microsoft Agent Framework,FINAL_TEST,P99+1MS,M3,192,4.2921,0.005208333333333333,0.0125,21.566905208333335,46.36733876929201,0.5010416666666667,0.8912350676928324
OpenAI Agents SDK,DEVELOPMENT,P90,M3,96,3.6307,0.21875,0.027083333333333334,18.298783333333333,54.648442018458425,0.54375,0.6783732016782806
OpenAI Agents SDK,DEVELOPMENT,P95,M3,96,3.7004,0.15625,0.016666666666666666,18.593303125,53.78280520019221,0.53125,0.6790077874464022
OpenAI Agents SDK,DEVELOPMENT,P99,M3,96,5.2975,0.0,0.00625,26.581236458333333,37.620522339791144,0.5,0.7780030674846626
OpenAI Agents SDK,DEVELOPMENT,P99+1MS,M3,96,6.2975,0.0,0.0375,31.643827083333335,31.601740123485115,0.5,0.8158836178377663
OpenAI Agents SDK,FINAL_TEST,P99+1MS,M2,192,6.2975,0.0,0.0,13.474801041666666,74.21259853171921,0.5166666666666667,0.43977406740164166
OpenAI Agents SDK,FINAL_TEST,P99+1MS,M3,192,6.2975,0.0,0.014583333333333334,31.65689375,31.588696221972192,0.5,0.7879080555918941
