framework,workload,native_median_semantic_ms,native_p95_semantic_ms,v4r8_median_semantic_ms,v4r8_p95_semantic_ms,v4r8_median_public_session_wall_ms,v4r8_p95_public_session_wall_ms,additive_median_overhead_ms,multiplicative_median_overhead,relay_cells_per_session,registry_queries_per_session,normalized_bytes_per_session
OpenAI Agents SDK,ORDINARY_TOOL,11.884156,15.792584349999995,426.630546,497.66443555,6099.7215694999995,6117.78463535,414.74638999999996,35.89910347861472,521,100,1840159
OpenAI Agents SDK,AGENT_AS_TOOL_TRANSITION,19.8511885,21.829463049999994,609.4954185,1142.5363662499994,6099.8263375,6112.8880023,589.64423,30.703220540170683,521,100,1840159
OpenAI Agents SDK,CACHE_REUSE_30,206.47132399999998,227.36078719999998,2094.6895835,2268.27201285,6096.456685499999,6178.7507051,1888.2182595,10.145184052289993,521,100,1840159
OpenAI Agents SDK,CAPACITY_50,121.8473355,128.33457055,1003.317393,1385.216480399999,6107.324289,6205.419309,881.4700575,8.234216931235235,521,100,1840159
Microsoft Agent Framework,ORDINARY_TOOL,6.448212,7.3973797999999995,421.94300799999996,521.9891321999996,6094.6836015,6111.960342,415.49479599999995,65.43565999380914,521,100,1840159
Microsoft Agent Framework,AGENT_AS_TOOL_TRANSITION,8.997468999999999,10.022665799999997,572.17666,743.6573552999998,6100.7998975,6124.678636000001,563.179191,63.59306822840957,521,100,1840159
Microsoft Agent Framework,CACHE_REUSE_30,59.4067675,74.78825484999994,1631.077492,1817.1580815,6095.468052,6155.9890285,1571.6707244999998,27.456088938015352,521,100,1840159
Microsoft Agent Framework,CAPACITY_50,86.72382400000001,194.7320160499999,954.624595,1615.9715329999979,6101.672071,6198.8006055999995,867.900771,11.007639550119467,521,100,1840159
