attack,feature_set,model,metric,score,balanced_accuracy,permutation_baseline,permutation_p_value,samples,chance
CROSS_SESSION_LINKABILITY,RAW_QUERY,LogisticRegression,AUC,0.5698958333333334,0.5172916666666667,0.4900915558247465,0.047619047619047616,560,0.5
CROSS_SESSION_LINKABILITY,RAW_QUERY,RandomForest,AUC,0.5354950396825398,0.5,0.49617690024898475,0.09523809523809523,560,0.5
CROSS_SESSION_LINKABILITY,STRUCTURAL_SIZE,SYMBOLIC,EXACT_EQUALITY,0.5,0.5,0.5,1.0,560,0.5
