attack,feature_set,model,metric,score,balanced_accuracy,permutation_baseline,permutation_p_value,samples,chance
CROSS_SESSION_LINKABILITY,RAW_QUERY,LogisticRegression,AUC,0.4755952380952381,0.49289285714285713,0.5012650891145455,0.9523809523809523,1320,0.5
CROSS_SESSION_LINKABILITY,RAW_QUERY,RandomForest,AUC,0.45798443452380955,0.49966666666666665,0.5071088102265111,1.0,1320,0.5
CROSS_SESSION_LINKABILITY,STRUCTURAL_SIZE,SYMBOLIC,EXACT_EQUALITY,0.5,0.5,0.5,1.0,1320,0.5
