operation_id,stage,monotonic_ns,session,slot,detail
v7-functional-0,PACER_OBSERVED,8130678307072982,0,2,
v7-functional-4,PACER_OBSERVED,8130678307560993,0,2,
v7-functional-0,RESULT_CELL_SENT,8130678308281537,0,2,
v7-functional-3,PACER_OBSERVED,8130678316986632,0,3,
v7-functional-8,PACER_OBSERVED,8130678317564778,0,3,
v7-functional-4,RESULT_CELL_SENT,8130678318283594,0,3,
v7-functional-12,PACER_OBSERVED,8130678326981040,0,4,
v7-functional-1,PACER_OBSERVED,8130678327617923,0,4,
v7-functional-5,PACER_OBSERVED,8130678328436028,0,4,
v7-functional-3,RESULT_CELL_SENT,8130678329157291,0,4,
v7-functional-16,PACER_OBSERVED,8130678337132418,0,5,
v7-functional-8,RESULT_CELL_SENT,8130678338278883,0,5,
v7-functional-20,PACER_OBSERVED,8130678346659711,0,6,
v7-functional-13,PACER_OBSERVED,8130678347095517,0,6,
v7-functional-9,PACER_OBSERVED,8130678347609225,0,6,
v7-functional-24,PACER_OBSERVED,8130678348133528,0,6,
v7-functional-12,RESULT_CELL_SENT,8130678348752242,0,6,
v7-functional-17,PACER_OBSERVED,8130678356873382,0,7,
v7-functional-28,PACER_OBSERVED,8130678357528596,0,7,
v7-functional-21,PACER_OBSERVED,8130678358200847,0,7,
v7-functional-1,RESULT_CELL_SENT,8130678358891094,0,7,
v7-functional-32,PACER_OBSERVED,8130678367020757,0,8,
v7-functional-5,RESULT_CELL_SENT,8130678368288469,0,8,
v7-functional-27,PACER_OBSERVED,8130678377688302,0,9,
v7-functional-25,PACER_OBSERVED,8130678379240953,0,9,
v7-functional-36,PACER_OBSERVED,8130678381123410,0,9,
v7-functional-40,PACER_OBSERVED,8130678382547366,0,9,
v7-functional-29,PACER_OBSERVED,8130678384100833,0,9,
v7-functional-44,PACER_OBSERVED,8130678385692091,0,9,
v7-functional-2,PACER_OBSERVED,8130678387238305,0,9,
v7-functional-33,PACER_OBSERVED,8130678388859137,0,9,
v7-functional-16,RESULT_CELL_SENT,8130678390409175,0,9,
v7-functional-20,RESULT_CELL_SENT,8130678393679490,0,10,
v7-functional-48,PACER_OBSERVED,8130678397961275,0,11,
v7-functional-6,PACER_OBSERVED,8130678399598081,0,11,
v7-functional-41,PACER_OBSERVED,8130678401161903,0,11,
v7-functional-37,PACER_OBSERVED,8130678402909914,0,11,
v7-functional-11,PACER_OBSERVED,8130678404741315,0,11,
v7-functional-52,PACER_OBSERVED,8130678406588487,0,11,
v7-functional-39,PACER_OBSERVED,8130678408780238,0,11,
v7-functional-13,RESULT_CELL_SENT,8130678410565464,0,11,
v7-functional-45,PACER_OBSERVED,8130678414270195,0,12,
v7-functional-56,PACER_OBSERVED,8130678416410235,0,12,
v7-functional-9,RESULT_CELL_SENT,8130678418520184,0,12,
v7-functional-60,PACER_OBSERVED,8130678422994412,0,13,
v7-functional-49,PACER_OBSERVED,8130678425120483,0,13,
v7-functional-64,PACER_OBSERVED,8130678427188553,0,13,
v7-functional-18,PACER_OBSERVED,8130678429374915,0,13,
v7-functional-51,PACER_OBSERVED,8130678431480901,0,13,
v7-functional-68,PACER_OBSERVED,8130678433881015,0,13,
v7-functional-24,RESULT_CELL_SENT,8130678436339664,0,13,
v7-functional-53,PACER_OBSERVED,8130678441711789,0,14,
v7-functional-30,PACER_OBSERVED,8130678444402083,0,14,
v7-functional-72,PACER_OBSERVED,8130678446815357,0,14,
v7-functional-71,PACER_OBSERVED,8130678449371311,0,14,
v7-functional-65,PACER_OBSERVED,8130678451869302,0,14,
v7-functional-57,PACER_OBSERVED,8130678454700139,0,14,
v7-functional-34,PACER_OBSERVED,8130678458772097,0,14,
v7-functional-14,PACER_OBSERVED,8130678461015721,0,14,
v7-functional-76,PACER_OBSERVED,8130678462921906,0,14,
v7-functional-10,PACER_OBSERVED,8130678464893077,0,14,
v7-functional-61,PACER_OBSERVED,8130678466775046,0,14,
v7-functional-80,PACER_OBSERVED,8130678468668383,0,14,
v7-functional-69,PACER_OBSERVED,8130678470509266,0,14,
v7-functional-84,PACER_OBSERVED,8130678472435075,0,14,
v7-functional-46,PACER_OBSERVED,8130678474259376,0,14,
v7-functional-22,PACER_OBSERVED,8130678476077837,0,14,
