seed,dataset,architecture,feature,split,metric,value,permutation
0,natural_balanced,MODULAR-V2-PAD,F2,random,accuracy,1.0,0.5138888888888888
0,natural_balanced,MODULAR-V2-PAD,F2,random,roc_auc,1.0,0.5138888888888888
0,natural_balanced,MODULAR-V2-PAD,F3,random,accuracy,1.0,0.5138888888888888
0,natural_balanced,MODULAR-V2-PAD,F3,random,roc_auc,1.0,0.5138888888888888
0,natural_balanced,MODULAR-V2-PAD,F4,random,accuracy,1.0,0.49583333333333335
0,natural_balanced,MODULAR-V2-PAD,F4,random,roc_auc,1.0,0.49583333333333335
0,natural_balanced,MODULAR-V2-PAD,F5,random,accuracy,1.0,0.5361111111111111
0,natural_balanced,MODULAR-V2-PAD,F5,random,roc_auc,1.0,0.5361111111111111
0,matched,MODULAR-V2-HIST,F0,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,MODULAR-V2-HIST,F0,random,roc_auc,0.5,0.49166666666666664
0,matched,MODULAR-V2-HIST,F1,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,MODULAR-V2-HIST,F1,random,roc_auc,0.5,0.49166666666666664
0,matched,MODULAR-V2-HIST,F2,random,accuracy,1.0,0.49583333333333335
0,matched,MODULAR-V2-HIST,F2,random,roc_auc,1.0,0.49583333333333335
0,matched,MODULAR-V2-HIST,F3,random,accuracy,1.0,0.49583333333333335
0,matched,MODULAR-V2-HIST,F3,random,roc_auc,1.0,0.49583333333333335
0,matched,MODULAR-V2-HIST,F4,random,accuracy,1.0,0.49583333333333335
0,matched,MODULAR-V2-HIST,F4,random,roc_auc,1.0,0.49583333333333335
0,matched,MODULAR-V2-HIST,F4,grouped_recipient,accuracy,1.0,0.5204582651391162
0,matched,MODULAR-V2-HIST,F4,grouped_recipient,roc_auc,1.0,0.5204582651391162
0,matched,MODULAR-V2-HIST,F5,random,accuracy,1.0,0.5277777777777778
0,matched,MODULAR-V2-HIST,F5,random,roc_auc,1.0,0.5277777777777778
0,natural,MODULAR-V2-HIST,F0,random,accuracy,0.8458333333333333,0.8722222222222222
0,natural,MODULAR-V2-HIST,F0,random,roc_auc,0.5,0.8722222222222222
0,natural,MODULAR-V2-HIST,F1,random,accuracy,0.8458333333333333,0.8722222222222222
0,natural,MODULAR-V2-HIST,F1,random,roc_auc,0.5,0.8722222222222222
0,natural,MODULAR-V2-HIST,F2,random,accuracy,0.9458333333333333,0.8722222222222222
0,natural,MODULAR-V2-HIST,F2,random,roc_auc,0.9474326543292061,0.8722222222222222
0,natural,MODULAR-V2-HIST,F3,random,accuracy,0.9458333333333333,0.8722222222222222
0,natural,MODULAR-V2-HIST,F3,random,roc_auc,0.9474326543292061,0.8722222222222222
0,natural,MODULAR-V2-HIST,F4,random,accuracy,0.9458333333333333,0.7972222222222223
0,natural,MODULAR-V2-HIST,F4,random,roc_auc,0.9504504504504504,0.7972222222222223
0,natural,MODULAR-V2-HIST,F5,random,accuracy,0.9458333333333333,0.8722222222222222
0,natural,MODULAR-V2-HIST,F5,random,roc_auc,0.9416855278924244,0.8722222222222222
0,natural_balanced,MODULAR-V2-HIST,F0,random,accuracy,0.4986111111111111,0.4986111111111111
0,natural_balanced,MODULAR-V2-HIST,F0,random,roc_auc,0.5,0.4986111111111111
0,natural_balanced,MODULAR-V2-HIST,F1,random,accuracy,0.4986111111111111,0.4986111111111111
0,natural_balanced,MODULAR-V2-HIST,F1,random,roc_auc,0.5,0.4986111111111111
0,natural_balanced,MODULAR-V2-HIST,F2,random,accuracy,0.8402777777777778,0.5069444444444444
0,natural_balanced,MODULAR-V2-HIST,F2,random,roc_auc,0.9506709156706457,0.5069444444444444
0,natural_balanced,MODULAR-V2-HIST,F3,random,accuracy,0.8402777777777778,0.5069444444444444
0,natural_balanced,MODULAR-V2-HIST,F3,random,roc_auc,0.9506709156706457,0.5069444444444444
0,natural_balanced,MODULAR-V2-HIST,F4,random,accuracy,0.8402777777777778,0.5069444444444444
0,natural_balanced,MODULAR-V2-HIST,F4,random,roc_auc,0.9506709156706457,0.5069444444444444
0,natural_balanced,MODULAR-V2-HIST,F5,random,accuracy,0.85,0.4875
0,natural_balanced,MODULAR-V2-HIST,F5,random,roc_auc,0.9567666417179145,0.4875
0,matched,MODULAR-V3,F0,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,MODULAR-V3,F0,random,roc_auc,0.5,0.49166666666666664
0,matched,MODULAR-V3,F1,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,MODULAR-V3,F1,random,roc_auc,0.5,0.49166666666666664
0,matched,MODULAR-V3,F2,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,MODULAR-V3,F2,random,roc_auc,0.5,0.49166666666666664
0,matched,MODULAR-V3,F3,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,MODULAR-V3,F3,random,roc_auc,0.5,0.49166666666666664
0,matched,MODULAR-V3,F4,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,MODULAR-V3,F4,random,roc_auc,0.5,0.49166666666666664
0,matched,MODULAR-V3,F4,grouped_recipient,accuracy,0.49427168576104746,0.45990180032733224
0,matched,MODULAR-V3,F4,grouped_recipient,roc_auc,0.5,0.45990180032733224
0,matched,MODULAR-V3,F5,random,accuracy,0.5083333333333333,0.4930555555555556
0,matched,MODULAR-V3,F5,random,roc_auc,0.517221686282076,0.4930555555555556
0,natural,MODULAR-V3,F0,random,accuracy,0.8458333333333333,0.8722222222222222
0,natural,MODULAR-V3,F0,random,roc_auc,0.5,0.8722222222222222
0,natural,MODULAR-V3,F1,random,accuracy,0.8458333333333333,0.8722222222222222
0,natural,MODULAR-V3,F1,random,roc_auc,0.5,0.8722222222222222
0,natural,MODULAR-V3,F2,random,accuracy,0.8458333333333333,0.8722222222222222
0,natural,MODULAR-V3,F2,random,roc_auc,0.5,0.8722222222222222
0,natural,MODULAR-V3,F3,random,accuracy,0.8458333333333333,0.8722222222222222
0,natural,MODULAR-V3,F3,random,roc_auc,0.5,0.8722222222222222
0,natural,MODULAR-V3,F4,random,accuracy,0.8458333333333333,0.8722222222222222
0,natural,MODULAR-V3,F4,random,roc_auc,0.5,0.8722222222222222
0,natural,MODULAR-V3,F5,random,accuracy,0.8458333333333333,0.8722222222222222
0,natural,MODULAR-V3,F5,random,roc_auc,0.49661977248184147,0.8722222222222222
0,natural_balanced,MODULAR-V3,F0,random,accuracy,0.4986111111111111,0.4986111111111111
0,natural_balanced,MODULAR-V3,F0,random,roc_auc,0.5,0.4986111111111111
0,natural_balanced,MODULAR-V3,F1,random,accuracy,0.4986111111111111,0.4986111111111111
0,natural_balanced,MODULAR-V3,F1,random,roc_auc,0.5,0.4986111111111111
0,natural_balanced,MODULAR-V3,F2,random,accuracy,0.4986111111111111,0.4986111111111111
0,natural_balanced,MODULAR-V3,F2,random,roc_auc,0.5,0.4986111111111111
0,natural_balanced,MODULAR-V3,F3,random,accuracy,0.4986111111111111,0.4986111111111111
0,natural_balanced,MODULAR-V3,F3,random,roc_auc,0.5,0.4986111111111111
