task_id,framework,observer,selected_train_model,train_distinguishability_auc,eval_point_auc,eval_ci95_two_sided_low,eval_ci95_two_sided_high,eval_lcb95_one_sided,randomization_p,repair_smoke_failure
C1_REGISTRY_RESOLUTION_PATTERN,OpenAI Agents SDK,REGISTRY,HIST_GRADIENT_BOOSTING,0.6222222222222222,0.5555555555555556,0.4121944444444445,0.6955555555555556,0.43666666666666665,0.21797820217978203,False
T7,OpenAI Agents SDK,REGISTRY,HIST_GRADIENT_BOOSTING,0.6133333333333333,0.5688888888888889,0.4111111111111111,0.7222222222222222,0.43777777777777777,0.1865813418658134,False
T7,OpenAI Agents SDK,RELAY,HIST_GRADIENT_BOOSTING,0.5822222222222222,0.4555555555555555,0.29777777777777775,0.6211111111111111,0.3211111111111111,0.7101289871012899,False
T7,Microsoft Agent Framework,REGISTRY,RBF_SVM,0.6455555555555555,0.5566666666666666,0.42444444444444446,0.6933333333333334,0.4444444444444444,0.20507949205079493,False
T7,Microsoft Agent Framework,RELAY,HIST_GRADIENT_BOOSTING,0.6711111111111111,0.4266666666666667,0.27666666666666667,0.5766666666666667,0.3011111111111111,0.8394160583941606,False
T9,OpenAI Agents SDK,RELAY,HIST_GRADIENT_BOOSTING,0.8388888888888889,0.8244444444444445,0.6711111111111111,0.9511111111111111,0.6988888888888889,0.00039996000399960006,True
T9,Microsoft Agent Framework,RELAY,EXTRA_TREES,0.5900000000000001,0.44666666666666666,0.32222222222222224,0.5744444444444444,0.3411111111111111,0.7887211278872113,False
