seed,variant,probe,metric,value,chance,shuffled
2,V0,B_linkability,accuracy,0.9966666666666667,0.5,0.4667802258657859
2,V0,B_linkability,roc_auc,0.9999851805014919,0.5,0.4667802258657859
2,V0,C_occupancy,accuracy,1.0,0.25,0.2727777777777778
2,V0,C_occupancy,macro_f1,1.0,0.25,0.2727777777777778
2,V0,D_history_relevant,accuracy,1.0,0.5,0.5365312129517339
2,V0,D_history_relevant,roc_auc,1.0,0.5,0.5365312129517339
2,V1,A_recipient_identity,accuracy,1.0,0.0625,0.05333333333333334
2,V1,A_recipient_identity,macro_f1,1.0,0.0625,0.05333333333333334
2,V1,B_linkability,accuracy,0.9966666666666667,0.5,0.4667802258657859
2,V1,B_linkability,roc_auc,0.9999851805014919,0.5,0.4667802258657859
2,V1,C_occupancy,accuracy,1.0,0.25,0.2727777777777778
2,V1,C_occupancy,macro_f1,1.0,0.25,0.2727777777777778
2,V1,D_history_relevant,accuracy,1.0,0.5,0.5365312129517339
2,V1,D_history_relevant,roc_auc,1.0,0.5,0.5365312129517339
2,V2,A_recipient_identity,accuracy,0.044444444444444446,0.0625,0.04888888888888889
2,V2,A_recipient_identity,macro_f1,0.04049602115712759,0.0625,0.04888888888888889
2,V2,B_linkability,accuracy,0.49444444444444446,0.5,0.4800760467554044
2,V2,B_linkability,roc_auc,0.49366466438775713,0.5,0.4800760467554044
2,V2,C_occupancy,accuracy,1.0,0.25,0.24888888888888888
2,V2,C_occupancy,macro_f1,1.0,0.25,0.24888888888888888
2,V2,D_history_relevant,accuracy,1.0,0.5,0.49359200208675613
2,V2,D_history_relevant,roc_auc,1.0,0.5,0.49359200208675613
2,V3,A_recipient_identity,accuracy,0.044444444444444446,0.0625,0.05333333333333334
2,V3,A_recipient_identity,macro_f1,0.041386354113003274,0.0625,0.05333333333333334
2,V3,B_linkability,accuracy,0.4911111111111111,0.5,0.500951820573169
2,V3,B_linkability,roc_auc,0.4891027287636586,0.5,0.500951820573169
2,V3,C_occupancy,accuracy,0.24833333333333332,0.25,0.24833333333333332
2,V3,C_occupancy,macro_f1,0.24815397609370268,0.25,0.24833333333333332
2,V3,D_history_relevant,accuracy,0.5077777777777778,0.5,0.49463414392930743
2,V3,D_history_relevant,roc_auc,0.5127740326018357,0.5,0.49463414392930743
2,V2,C_ablation_count,accuracy,0.6433333333333333,0.25,0.25222222222222224
2,V2,C_ablation_store,accuracy,1.0,0.25,0.24388888888888888
2,V2,C_ablation_order,accuracy,1.0,0.25,0.2461111111111111
2,V2,C_ablation_full,accuracy,1.0,0.25,0.24888888888888888
