operation_id,selected_agent_id,descriptor_authenticated_from_real_pir,descriptor_schema,catalog_epoch,action_kind,private_route_handle,effect_semantics,provider_calls,result_round,delivery_ledger_state,lifecycle_stages,all_required_stages,framework_delivered,pass
functional-100-0005,12,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-12,IDEMPOTENT_EFFECT,1,3,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0012,12,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-12,IDEMPOTENT_EFFECT,1,4,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0019,12,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-12,IDEMPOTENT_EFFECT,1,5,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0026,12,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-12,IDEMPOTENT_EFFECT,1,6,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0033,12,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-12,IDEMPOTENT_EFFECT,1,7,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0040,12,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-12,IDEMPOTENT_EFFECT,1,8,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0047,12,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-12,IDEMPOTENT_EFFECT,1,9,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0054,12,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-12,IDEMPOTENT_EFFECT,1,10,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0061,12,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-12,IDEMPOTENT_EFFECT,1,11,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0068,12,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-12,IDEMPOTENT_EFFECT,1,12,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0075,12,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-12,IDEMPOTENT_EFFECT,1,13,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0082,12,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-12,IDEMPOTENT_EFFECT,1,14,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0089,12,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-12,IDEMPOTENT_EFFECT,1,15,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0096,12,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-12,IDEMPOTENT_EFFECT,1,16,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
