component,platform,workload,iterations,mean_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,semantic_checks
native_framework,linux,source_traceable_openai_model_tool_model,50,3.47909506,3.4523715,3.8690658499999993,3.32715,4.729727,PASS
compiled_control,linux,source_traceable_openai_model_tool_model,50,0.86703708,0.863263,0.8811651,0.851002,0.958452,PASS
