runtime,family,variant,feature_set,mean_auc,std_auc,mean_accuracy,mean_permutation_auc,chance
OpenAI Agents SDK,AUTHORIZATION,M3,STRUCTURAL,0.5349794238683128,0.025711546910203057,0.5185185185185185,0.4951195987654321,0.5
OpenAI Agents SDK,AUTHORIZATION,M3,SIZE,0.5,0.0,0.5,0.5,0.5
OpenAI Agents SDK,AUTHORIZATION,M3,TIMING,0.5578703703703703,0.058238540786860214,0.5324074074074074,0.5104552469135802,0.5
OpenAI Agents SDK,AUTHORIZATION,M3,ALL,0.5547839506172839,0.08038923751160353,0.5578703703703703,0.50747170781893,0.5
OpenAI Agents SDK,PROVENANCE_HISTORY,M0,STRUCTURAL,1.0,0.0,1.0,0.49907407407407406,0.5
OpenAI Agents SDK,PROVENANCE_HISTORY,M0,SIZE,1.0,4.5324665183683945e-17,1.0,0.4958719135802469,0.5
OpenAI Agents SDK,PROVENANCE_HISTORY,M0,TIMING,1.0,0.0,1.0,0.5042181069958848,0.5
OpenAI Agents SDK,PROVENANCE_HISTORY,M0,ALL,1.0,0.0,1.0,0.502854938271605,0.5
OpenAI Agents SDK,PROVENANCE_HISTORY,M1,STRUCTURAL,1.0,0.0,1.0,0.4995306069958848,0.5
OpenAI Agents SDK,PROVENANCE_HISTORY,M1,SIZE,1.0,0.0,1.0,0.49627700617283954,0.5
OpenAI Agents SDK,PROVENANCE_HISTORY,M1,TIMING,1.0,0.0,0.9930555555555556,0.49594264403292176,0.5
OpenAI Agents SDK,PROVENANCE_HISTORY,M1,ALL,1.0,0.0,1.0,0.49883616255144037,0.5
OpenAI Agents SDK,PROVENANCE_HISTORY,M2,STRUCTURAL,0.5349794238683128,0.025711546910203057,0.5185185185185185,0.4951195987654321,0.5
OpenAI Agents SDK,PROVENANCE_HISTORY,M2,SIZE,1.0,0.0,1.0,0.4957561728395061,0.5
OpenAI Agents SDK,PROVENANCE_HISTORY,M2,TIMING,0.4787165637860082,0.0620071909476687,0.48148148148148145,0.49801311728395065,0.5
OpenAI Agents SDK,PROVENANCE_HISTORY,M2,ALL,1.0,0.0,1.0,0.4999164094650206,0.5
OpenAI Agents SDK,PROVENANCE_HISTORY,M3,STRUCTURAL,0.5349794238683128,0.025711546910203057,0.5185185185185185,0.4951195987654321,0.5
OpenAI Agents SDK,PROVENANCE_HISTORY,M3,SIZE,0.5,0.0,0.5,0.5,0.5
OpenAI Agents SDK,PROVENANCE_HISTORY,M3,TIMING,0.5662294238683128,0.13884122696148687,0.5833333333333334,0.49260545267489714,0.5
OpenAI Agents SDK,PROVENANCE_HISTORY,M3,ALL,0.6168981481481481,0.10995492202054076,0.5972222222222222,0.49475308641975313,0.5
