system,source,stores,block_bytes,bucket_size,n,seeds,natural_hidden_probability
GAAP-derived,arXiv:2604.19657v1,PRIVATE_DATA_DB:1024;PERMISSION_DB:1024;DISCLOSURE_LOG:2048,4096,4,2400,0;1;2,0.3
PAuth-derived,arXiv:2603.17170v2,SLICE_STATE:1024,4096,4,2400,0;1;2,0.3
