seed,system,distribution,variant,feature,split,metric,value,permutation
0,GAAP-derived,balanced,UNIFIED-ORAM,F3,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F3,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F4,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F4,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F4,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F4,grouped_entity,accuracy,0.5067340067340067,0.5252525252525253
0,GAAP-derived,balanced,UNIFIED-ORAM,F4,grouped_entity,macro_f1,0.33631284916201115,0.5252525252525253
0,GAAP-derived,balanced,UNIFIED-ORAM,F4,grouped_entity,roc_auc,0.5,0.5252525252525253
0,GAAP-derived,balanced,UNIFIED-ORAM,F5,random,accuracy,0.5013888888888889,0.4652777777777778
0,GAAP-derived,balanced,UNIFIED-ORAM,F5,random,macro_f1,0.4848522896450288,0.4652777777777778
0,GAAP-derived,balanced,UNIFIED-ORAM,F5,random,roc_auc,0.5270401240550494,0.4652777777777778
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F0,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F0,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F0,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F1,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F1,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F1,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F2,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F2,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F2,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F3,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F3,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F3,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F4,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F4,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F4,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F4,grouped_entity,accuracy,0.5067340067340067,0.5252525252525253
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F4,grouped_entity,macro_f1,0.33631284916201115,0.5252525252525253
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F4,grouped_entity,roc_auc,0.5,0.5252525252525253
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F5,random,accuracy,0.4777777777777778,0.5222222222222223
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F5,random,macro_f1,0.4694885361552028,0.5222222222222223
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F5,random,roc_auc,0.49554564838146925,0.5222222222222223
0,GAAP-derived,natural,MODULAR-ORAM,F0,random,accuracy,0.7041666666666667,0.6958333333333333
0,GAAP-derived,natural,MODULAR-ORAM,F0,random,macro_f1,0.4132029339853301,0.6958333333333333
0,GAAP-derived,natural,MODULAR-ORAM,F0,random,roc_auc,0.5,0.6958333333333333
0,GAAP-derived,natural,MODULAR-ORAM,F1,random,accuracy,1.0,0.6958333333333333
0,GAAP-derived,natural,MODULAR-ORAM,F1,random,macro_f1,1.0,0.6958333333333333
0,GAAP-derived,natural,MODULAR-ORAM,F1,random,roc_auc,1.0,0.6958333333333333
0,GAAP-derived,natural,MODULAR-ORAM,F2,random,accuracy,1.0,0.6958333333333333
0,GAAP-derived,natural,MODULAR-ORAM,F2,random,macro_f1,1.0,0.6958333333333333
0,GAAP-derived,natural,MODULAR-ORAM,F2,random,roc_auc,1.0,0.6958333333333333
0,GAAP-derived,natural,MODULAR-ORAM,F3,random,accuracy,1.0,0.6958333333333333
0,GAAP-derived,natural,MODULAR-ORAM,F3,random,macro_f1,1.0,0.6958333333333333
0,GAAP-derived,natural,MODULAR-ORAM,F3,random,roc_auc,1.0,0.6958333333333333
0,GAAP-derived,natural,MODULAR-ORAM,F4,random,accuracy,1.0,0.6958333333333333
0,GAAP-derived,natural,MODULAR-ORAM,F4,random,macro_f1,1.0,0.6958333333333333
0,GAAP-derived,natural,MODULAR-ORAM,F4,random,roc_auc,1.0,0.6958333333333333
0,GAAP-derived,natural,MODULAR-ORAM,F5,random,accuracy,1.0,0.6819444444444445
0,GAAP-derived,natural,MODULAR-ORAM,F5,random,macro_f1,1.0,0.6819444444444445
0,GAAP-derived,natural,MODULAR-ORAM,F5,random,roc_auc,1.0,0.6819444444444445
0,GAAP-derived,natural,CANONICAL-MODULAR,F0,random,accuracy,0.7041666666666667,0.6958333333333333
0,GAAP-derived,natural,CANONICAL-MODULAR,F0,random,macro_f1,0.4132029339853301,0.6958333333333333
0,GAAP-derived,natural,CANONICAL-MODULAR,F0,random,roc_auc,0.5,0.6958333333333333
0,GAAP-derived,natural,CANONICAL-MODULAR,F1,random,accuracy,0.7041666666666667,0.6958333333333333
0,GAAP-derived,natural,CANONICAL-MODULAR,F1,random,macro_f1,0.4132029339853301,0.6958333333333333
0,GAAP-derived,natural,CANONICAL-MODULAR,F1,random,roc_auc,0.5,0.6958333333333333
0,GAAP-derived,natural,CANONICAL-MODULAR,F2,random,accuracy,0.7041666666666667,0.6958333333333333
0,GAAP-derived,natural,CANONICAL-MODULAR,F2,random,macro_f1,0.4132029339853301,0.6958333333333333
0,GAAP-derived,natural,CANONICAL-MODULAR,F2,random,roc_auc,0.5,0.6958333333333333
0,GAAP-derived,natural,CANONICAL-MODULAR,F3,random,accuracy,0.7041666666666667,0.6958333333333333
0,GAAP-derived,natural,CANONICAL-MODULAR,F3,random,macro_f1,0.4132029339853301,0.6958333333333333
0,GAAP-derived,natural,CANONICAL-MODULAR,F3,random,roc_auc,0.5,0.6958333333333333
0,GAAP-derived,natural,CANONICAL-MODULAR,F4,random,accuracy,0.7041666666666667,0.6958333333333333
0,GAAP-derived,natural,CANONICAL-MODULAR,F4,random,macro_f1,0.4132029339853301,0.6958333333333333
0,GAAP-derived,natural,CANONICAL-MODULAR,F4,random,roc_auc,0.5,0.6958333333333333
0,GAAP-derived,natural,CANONICAL-MODULAR,F5,random,accuracy,0.6847222222222222,0.6708333333333333
0,GAAP-derived,natural,CANONICAL-MODULAR,F5,random,macro_f1,0.43810142640551997,0.6708333333333333
0,GAAP-derived,natural,CANONICAL-MODULAR,F5,random,roc_auc,0.48453111833393525,0.6708333333333333
0,GAAP-derived,natural,UNIFIED-ORAM,F0,random,accuracy,0.7041666666666667,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM,F0,random,macro_f1,0.4132029339853301,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM,F0,random,roc_auc,0.5,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM,F1,random,accuracy,0.7041666666666667,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM,F1,random,macro_f1,0.4132029339853301,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM,F1,random,roc_auc,0.5,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM,F2,random,accuracy,0.7041666666666667,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM,F2,random,macro_f1,0.4132029339853301,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM,F2,random,roc_auc,0.5,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM,F3,random,accuracy,0.7041666666666667,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM,F3,random,macro_f1,0.4132029339853301,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM,F3,random,roc_auc,0.5,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM,F4,random,accuracy,0.7041666666666667,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM,F4,random,macro_f1,0.4132029339853301,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM,F4,random,roc_auc,0.5,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM,F5,random,accuracy,0.7041666666666667,0.6972222222222222
0,GAAP-derived,natural,UNIFIED-ORAM,F5,random,macro_f1,0.4177123872804936,0.6972222222222222
0,GAAP-derived,natural,UNIFIED-ORAM,F5,random,roc_auc,0.5091581705882897,0.6972222222222222
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,F0,random,accuracy,0.7041666666666667,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,F0,random,macro_f1,0.4132029339853301,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,F0,random,roc_auc,0.5,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,F1,random,accuracy,0.7041666666666667,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,F1,random,macro_f1,0.4132029339853301,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,F1,random,roc_auc,0.5,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,F2,random,accuracy,0.7041666666666667,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,F2,random,macro_f1,0.4132029339853301,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,F2,random,roc_auc,0.5,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,F3,random,accuracy,0.7041666666666667,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,F3,random,macro_f1,0.4132029339853301,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,F3,random,roc_auc,0.5,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,F4,random,accuracy,0.7041666666666667,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,F4,random,macro_f1,0.4132029339853301,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,F4,random,roc_auc,0.5,0.6958333333333333
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,F5,random,accuracy,0.7041666666666667,0.6944444444444444
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,F5,random,macro_f1,0.4177123872804936,0.6944444444444444
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,F5,random,roc_auc,0.496430258077062,0.6944444444444444
0,PAuth-derived,balanced,MODULAR-ORAM,F0,random,accuracy,0.4652777777777778,0.5041666666666667
