episode,round,index,class
scale,0,0,PRIVATE
scale,1,1,PRIVATE
scale,2,17,PRIVATE
scale,3,500,PRIVATE
scale,4,999,PRIVATE
scale,5,17,PRIVATE
scale,6,999,PRIVATE
