episode,round,index,class
functional-100-agent-10,0,10,PRIVATE_AGENT_SELECTION
functional-100-agent-11,1,11,PRIVATE_AGENT_SELECTION
functional-100-agent-12,2,12,PRIVATE_AGENT_SELECTION
functional-100-agent-13,3,13,PRIVATE_AGENT_SELECTION
