label,slots,p50_release_slip_ms,p95_release_slip_ms,p99_release_slip_ms,max_release_slip_ms,mean_release_slip_ms
FAST,360,0.4102,0.95504,1.2442360000000001,1.4608,0.4624097222222222
JITTERED,360,0.43705,0.9907400000000001,1.4079990000000004,1.4815,0.48479999999999995
MEDIUM,360,0.4403,0.9430400000000002,1.1303180000000004,1.314,0.47240138888888894
SLOW,360,0.47095,0.9592700000000001,1.227571,1.4642,0.49815916666666665
VERY_SLOW,360,0.4395,0.97644,1.2622640000000005,1.358,0.46474027777777777
