operation_id,stage,monotonic_ns,session,slot,detail
v7-functional-0,PACER_OBSERVED,8130675610280665,0,2,
v7-functional-4,PACER_OBSERVED,8130675610623115,0,2,
v7-functional-0,RESULT_CELL_SENT,8130675611609247,0,2,
v7-functional-8,PACER_OBSERVED,8130675620524309,0,3,
v7-functional-3,PACER_OBSERVED,8130675621292222,0,3,
v7-functional-4,RESULT_CELL_SENT,8130675622053782,0,3,
v7-functional-1,PACER_OBSERVED,8130675630346595,0,4,
v7-functional-12,PACER_OBSERVED,8130675631175969,0,4,
v7-functional-5,PACER_OBSERVED,8130675631921014,0,4,
v7-functional-8,RESULT_CELL_SENT,8130675632906822,0,4,
v7-functional-16,PACER_OBSERVED,8130675640782951,0,5,
v7-functional-20,PACER_OBSERVED,8130675642932728,0,5,
v7-functional-3,RESULT_CELL_SENT,8130675643569809,0,5,
v7-functional-13,PACER_OBSERVED,8130675650288245,0,6,
v7-functional-9,PACER_OBSERVED,8130675650930993,0,6,
v7-functional-24,PACER_OBSERVED,8130675651702603,0,6,
v7-functional-1,RESULT_CELL_SENT,8130675652540387,0,6,
v7-functional-17,PACER_OBSERVED,8130675660425474,0,7,
v7-functional-28,PACER_OBSERVED,8130675661433744,0,7,
v7-functional-21,PACER_OBSERVED,8130675662436980,0,7,
v7-functional-12,RESULT_CELL_SENT,8130675663458127,0,7,
v7-functional-32,PACER_OBSERVED,8130675670799900,0,8,
v7-functional-5,RESULT_CELL_SENT,8130675671914833,0,8,
v7-functional-25,PACER_OBSERVED,8130675681663839,0,9,
v7-functional-27,PACER_OBSERVED,8130675682962232,0,9,
v7-functional-36,PACER_OBSERVED,8130675686169917,0,9,
v7-functional-40,PACER_OBSERVED,8130675688691762,0,9,
v7-functional-29,PACER_OBSERVED,8130675690079463,0,9,
v7-functional-44,PACER_OBSERVED,8130675691462759,0,9,
v7-functional-2,PACER_OBSERVED,8130675693399132,0,9,
v7-functional-33,PACER_OBSERVED,8130675694890377,0,9,
v7-functional-16,RESULT_CELL_SENT,8130675696552760,0,9,
v7-functional-48,PACER_OBSERVED,8130675699666018,0,10,
v7-functional-41,PACER_OBSERVED,8130675701078427,0,10,
v7-functional-37,PACER_OBSERVED,8130675702443294,0,10,
v7-functional-6,PACER_OBSERVED,8130675703791623,0,10,
v7-functional-11,PACER_OBSERVED,8130675705244387,0,10,
v7-functional-20,RESULT_CELL_SENT,8130675706678171,0,10,
v7-functional-39,PACER_OBSERVED,8130675709603477,0,11,
v7-functional-13,RESULT_CELL_SENT,8130675710754879,0,11,
v7-functional-9,RESULT_CELL_SENT,8130675713129440,0,12,
v7-functional-45,PACER_OBSERVED,8130675720397465,0,13,
v7-functional-24,RESULT_CELL_SENT,8130675721605389,0,13,
v7-functional-49,PACER_OBSERVED,8130675730354574,0,14,
v7-functional-18,PACER_OBSERVED,8130675731212300,0,14,
v7-functional-17,RESULT_CELL_SENT,8130675732039958,0,14,
v7-functional-30,PACER_OBSERVED,8130675740995415,0,15,
v7-functional-28,RESULT_CELL_SENT,8130675741760757,0,15,
v7-functional-21,RESULT_CELL_SENT,8130675751605714,0,16,
v7-functional-14,PACER_OBSERVED,8130675760510906,0,17,
v7-functional-34,PACER_OBSERVED,8130675761410263,0,17,
v7-functional-10,PACER_OBSERVED,8130675762285380,0,17,
v7-functional-32,RESULT_CELL_SENT,8130675763257413,0,17,
v7-functional-46,PACER_OBSERVED,8130675772661690,0,18,
v7-functional-42,PACER_OBSERVED,8130675774155336,0,18,
v7-functional-22,PACER_OBSERVED,8130675775644896,0,18,
v7-functional-25,RESULT_CELL_SENT,8130675777156216,0,18,
v7-functional-27,RESULT_CELL_SENT,8130675781611514,0,19,
v7-functional-26,PACER_OBSERVED,8130675791838089,0,20,
v7-functional-36,RESULT_CELL_SENT,8130675793444922,0,20,
v7-functional-38,PACER_OBSERVED,8130675801469739,0,21,
v7-functional-40,RESULT_CELL_SENT,8130675802954191,0,21,
v7-functional-29,RESULT_CELL_SENT,8130675811605779,0,22,
v7-functional-7,PACER_OBSERVED,8130675820584188,0,23,
v7-functional-44,RESULT_CELL_SENT,8130675821605482,0,23,
v7-functional-2,RESULT_CELL_SENT,8130675831606714,0,24,
v7-functional-33,RESULT_CELL_SENT,8130675841605575,0,25,
v7-functional-19,PACER_OBSERVED,8130675850495622,0,26,
v7-functional-48,RESULT_CELL_SENT,8130675851605245,0,26,
v7-functional-41,RESULT_CELL_SENT,8130675861605611,0,27,
v7-functional-31,PACER_OBSERVED,8130675870537894,0,28,
v7-functional-37,RESULT_CELL_SENT,8130675871605214,0,28,
v7-functional-6,RESULT_CELL_SENT,8130675881605510,0,29,
v7-functional-11,RESULT_CELL_SENT,8130675891641446,0,30,
v7-functional-39,RESULT_CELL_SENT,8130675901606375,0,31,
v7-functional-35,PACER_OBSERVED,8130675910667335,0,32,
v7-functional-45,RESULT_CELL_SENT,8130675911637852,0,32,
v7-functional-49,RESULT_CELL_SENT,8130675921606459,0,33,
v7-functional-23,PACER_OBSERVED,8130675931087612,0,34,
v7-functional-18,RESULT_CELL_SENT,8130675932259109,0,34,
v7-functional-30,RESULT_CELL_SENT,8130675941622241,0,35,
v7-functional-43,PACER_OBSERVED,8130675952076329,0,36,
v7-functional-14,RESULT_CELL_SENT,8130675954048889,0,36,
v7-functional-34,RESULT_CELL_SENT,8130675961607677,0,37,
v7-functional-15,PACER_OBSERVED,8130675970804260,0,38,
v7-functional-10,RESULT_CELL_SENT,8130675971852227,0,38,
v7-functional-46,RESULT_CELL_SENT,8130675981605651,0,39,
v7-functional-42,RESULT_CELL_SENT,8130675991605883,0,40,
v7-functional-22,RESULT_CELL_SENT,8130676001605806,0,41,
v7-functional-26,RESULT_CELL_SENT,8130676011605821,0,42,
v7-functional-38,RESULT_CELL_SENT,8130676021605438,0,43,
v7-functional-7,RESULT_CELL_SENT,8130676031605391,0,44,
v7-functional-19,RESULT_CELL_SENT,8130676041605831,0,45,
v7-functional-47,PACER_OBSERVED,8130676052521865,0,46,
v7-functional-31,RESULT_CELL_SENT,8130676055060243,0,46,
v7-functional-35,RESULT_CELL_SENT,8130676062238897,0,47,
v7-functional-23,RESULT_CELL_SENT,8130676072345737,0,48,
v7-functional-43,RESULT_CELL_SENT,8130676081605339,0,49,
v7-functional-15,RESULT_CELL_SENT,8130676091605804,0,50,
v7-functional-47,RESULT_CELL_SENT,8130676101605882,0,51,
