analysis,secret,variant,feature_level,split,metric,mean,std,chance,permutation_mean,permutation_std
full_trajectory,permission_missing,TRUSTED-LOCAL,FULL,cross_policy,accuracy,1.0,0.0,0.5,0.5429597312409813,0.018240521565577247
full_trajectory,permission_missing,TRUSTED-LOCAL,FULL,cross_policy,macro_f1,1.0,0.0,0.5,0.4837448604912261,0.0049231473828678625
full_trajectory,permission_missing,TRUSTED-LOCAL,FULL,cross_policy,roc_auc,1.0,0.0,0.5,0.4965749426209891,0.006340091532579166
full_trajectory,permission_missing,TRUSTED-LOCAL,FULL,grouped_entity,accuracy,1.0,0.0,0.5,0.5529066813818233,0.022612964667528834
full_trajectory,permission_missing,TRUSTED-LOCAL,FULL,grouped_entity,macro_f1,1.0,0.0,0.5,0.47983345030071306,0.010360806646173391
full_trajectory,permission_missing,TRUSTED-LOCAL,FULL,grouped_entity,roc_auc,1.0,0.0,0.5,0.5095979803912002,0.011732546280259224
full_trajectory,permission_missing,TRUSTED-LOCAL,SYMBOLIC,cross_policy,accuracy,1.0,0.0,0.5,0.5266155141155141,0.016441535003687602
full_trajectory,permission_missing,TRUSTED-LOCAL,SYMBOLIC,cross_policy,macro_f1,1.0,0.0,0.5,0.48285109098361345,0.0037917364240761275
full_trajectory,permission_missing,TRUSTED-LOCAL,SYMBOLIC,cross_policy,roc_auc,1.0,0.0,0.5,0.4936977532040856,0.005662402720875651
full_trajectory,permission_missing,TRUSTED-LOCAL,SYMBOLIC,grouped_entity,accuracy,1.0,0.0,0.5,0.5448330530446359,0.02151883118443422
full_trajectory,permission_missing,TRUSTED-LOCAL,SYMBOLIC,grouped_entity,macro_f1,1.0,0.0,0.5,0.4871430261249876,0.006434042132899498
full_trajectory,permission_missing,TRUSTED-LOCAL,SYMBOLIC,grouped_entity,roc_auc,1.0,0.0,0.5,0.509310563175132,0.00893679013870261
full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,FULL,cross_policy,accuracy,1.0,0.0,0.5,0.5392200103137603,0.01911925807703235
full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,FULL,cross_policy,macro_f1,1.0,0.0,0.5,0.4829340382466829,0.0020567876598651847
full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,FULL,cross_policy,roc_auc,1.0,0.0,0.5,0.49912856795250327,0.003956828943697932
full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,FULL,grouped_entity,accuracy,1.0,0.0,0.5,0.5477432380351762,0.021393337618563817
full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,FULL,grouped_entity,macro_f1,1.0,0.0,0.5,0.48095715296993957,0.012446453397113177
full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,FULL,grouped_entity,roc_auc,1.0,0.0,0.5,0.511061713764527,0.00426172910530518
full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,SYMBOLIC,cross_policy,accuracy,1.0,0.0,0.5,0.5146649646649647,0.008389788672775653
full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,SYMBOLIC,cross_policy,macro_f1,1.0,0.0,0.5,0.4887590667058487,0.0016959413025216348
full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,SYMBOLIC,cross_policy,roc_auc,1.0,0.0,0.5,0.4960351211812588,0.003326047553290657
full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,SYMBOLIC,grouped_entity,accuracy,1.0,0.0,0.5,0.5251997056968678,0.01495839978079394
full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,SYMBOLIC,grouped_entity,macro_f1,1.0,0.0,0.5,0.49740313757407856,0.006342361232803764
full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,SYMBOLIC,grouped_entity,roc_auc,1.0,0.0,0.5,0.5055959249162523,0.006167304372390654
mediation_only,requires_history,FIXED-CANONICAL,FULL,cross_policy,accuracy,0.45634920634920634,0.057745935757400765,0.5,0.4738095238095238,0.019671020574782438
mediation_only,requires_history,FIXED-CANONICAL,FULL,cross_policy,macro_f1,0.3850401126461318,0.028035975206356447,0.5,0.4250555152858391,0.011919429921550833
mediation_only,requires_history,FIXED-CANONICAL,FULL,cross_policy,roc_auc,0.4912416904083571,0.07004831325677521,0.5,0.4771381888195118,0.020350539147280248
mediation_only,requires_history,FIXED-CANONICAL,FULL,cross_task,accuracy,0.5159130992464326,0.09942817927913095,0.5,0.5058396464646464,0.004345296684954595
mediation_only,requires_history,FIXED-CANONICAL,FULL,cross_task,macro_f1,0.49989961729092164,0.10643423742679357,0.5,0.48164686880124785,0.004628368516451113
mediation_only,requires_history,FIXED-CANONICAL,FULL,cross_task,roc_auc,0.5427350427350427,0.06729921259839153,0.5,0.49396299067789984,0.01955656163455111
mediation_only,requires_history,FIXED-CANONICAL,FULL,grouped_entity,accuracy,0.49356725146198827,0.05135555181309977,0.5,0.4708333333333333,0.003986767316381114
mediation_only,requires_history,FIXED-CANONICAL,FULL,grouped_entity,macro_f1,0.46431197674164426,0.053775775275579855,0.5,0.43595338932600775,0.0025469511702933215
mediation_only,requires_history,FIXED-CANONICAL,FULL,grouped_entity,roc_auc,0.49217171717171715,0.037218144589775536,0.5,0.4727482972274639,0.012743135850736923
mediation_only,requires_history,FIXED-CANONICAL,SYMBOLIC,cross_policy,accuracy,0.4785714285714286,0.042636114344645364,0.5,0.4909722222222222,0.009329881140655829
mediation_only,requires_history,FIXED-CANONICAL,SYMBOLIC,cross_policy,macro_f1,0.40347483696320907,0.04021025519776061,0.5,0.44828262914529066,0.007715814901332042
mediation_only,requires_history,FIXED-CANONICAL,SYMBOLIC,cross_policy,roc_auc,0.44387464387464387,0.008384010808867321,0.5,0.4960950790847511,0.018129211728736896
mediation_only,requires_history,FIXED-CANONICAL,SYMBOLIC,cross_task,accuracy,0.4639650472983806,0.04467420991092385,0.5,0.48949940877024206,0.008718112301434287
mediation_only,requires_history,FIXED-CANONICAL,SYMBOLIC,cross_task,macro_f1,0.3162863886703383,0.02088556909736643,0.5,0.32687762308268803,0.00460677295740961
mediation_only,requires_history,FIXED-CANONICAL,SYMBOLIC,cross_task,roc_auc,0.5,0.0,0.5,0.5,0.0
mediation_only,requires_history,FIXED-CANONICAL,SYMBOLIC,grouped_entity,accuracy,0.47134502923976607,0.0033081019002879257,0.5,0.45497076023391814,0.028300143808795544
mediation_only,requires_history,FIXED-CANONICAL,SYMBOLIC,grouped_entity,macro_f1,0.3706108706108706,0.0718623008903167,0.5,0.4310265215467975,0.029603122154758278
mediation_only,requires_history,FIXED-CANONICAL,SYMBOLIC,grouped_entity,roc_auc,0.4488997113997114,0.0950178682984515,0.5,0.4657697048322048,0.013028883248330559
mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,cross_policy,accuracy,1.0,0.0,0.5,0.4963045634920635,0.009243442118955223
mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,cross_policy,macro_f1,1.0,0.0,0.5,0.464199356031931,0.014012789173174188
mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,cross_policy,roc_auc,1.0,0.0,0.5,0.501669055819147,0.021556500063750633
mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,cross_task,accuracy,1.0,0.0,0.5,0.514547759339426,0.016488357211717593
mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,cross_task,macro_f1,1.0,0.0,0.5,0.4562154790820498,0.014943786424446983
mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,cross_task,roc_auc,1.0,0.0,0.5,0.4910330686568435,0.023880313497122725
mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,grouped_entity,accuracy,1.0,0.0,0.5,0.4702485380116959,0.003691701402548654
mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,grouped_entity,macro_f1,1.0,0.0,0.5,0.4505242471102684,0.008981723958045754
mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,grouped_entity,roc_auc,1.0,0.0,0.5,0.4682363787832538,0.005790872093674258
mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,cross_policy,accuracy,1.0,0.0,0.5,0.5030257936507937,0.01112284138456144
mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,cross_policy,macro_f1,1.0,0.0,0.5,0.4784980954093676,0.010718948299549565
mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,cross_policy,roc_auc,1.0,0.0,0.5,0.5052060536154417,0.023357056249593756
mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,cross_task,accuracy,1.0,0.0,0.5,0.5090538319704987,0.014651766657320412
mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,cross_task,macro_f1,1.0,0.0,0.5,0.40284329235201405,0.019740986017910512
mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,cross_task,roc_auc,1.0,0.0,0.5,0.5043184387037183,0.014999957616098823
mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,grouped_entity,accuracy,1.0,0.0,0.5,0.4803362573099415,0.009439311380058862
mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,grouped_entity,macro_f1,1.0,0.0,0.5,0.46749600081417325,0.004723873401135991
mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,grouped_entity,roc_auc,1.0,0.0,0.5,0.47919800589071426,0.007962169010932496
mediation_only,requires_history,PER-SERVICE-ORAM,FULL,cross_policy,accuracy,1.0,0.0,0.5,0.49717261904761906,0.020419284042511556
mediation_only,requires_history,PER-SERVICE-ORAM,FULL,cross_policy,macro_f1,1.0,0.0,0.5,0.4690763764500075,0.023054234482533492
mediation_only,requires_history,PER-SERVICE-ORAM,FULL,cross_policy,roc_auc,1.0,0.0,0.5,0.4981653047677916,0.019604886983029948
mediation_only,requires_history,PER-SERVICE-ORAM,FULL,cross_task,accuracy,1.0,0.0,0.5,0.5019916426166426,0.0164757441623806
mediation_only,requires_history,PER-SERVICE-ORAM,FULL,cross_task,macro_f1,1.0,0.0,0.5,0.45545137224944093,0.015332846570127784
mediation_only,requires_history,PER-SERVICE-ORAM,FULL,cross_task,roc_auc,1.0,0.0,0.5,0.48850825318823343,0.014285673784373716
mediation_only,requires_history,PER-SERVICE-ORAM,FULL,grouped_entity,accuracy,1.0,0.0,0.5,0.45826023391812865,0.004419039522021202
mediation_only,requires_history,PER-SERVICE-ORAM,FULL,grouped_entity,macro_f1,1.0,0.0,0.5,0.4404329521649841,0.00954365391057561
mediation_only,requires_history,PER-SERVICE-ORAM,FULL,grouped_entity,roc_auc,1.0,0.0,0.5,0.4717695788008288,0.015855120698867055
mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,cross_policy,accuracy,1.0,0.0,0.5,0.5015376984126985,0.012265331557428703
mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,cross_policy,macro_f1,1.0,0.0,0.5,0.4764865435931283,0.01060305196959849
mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,cross_policy,roc_auc,1.0,0.0,0.5,0.5052314405996376,0.022474298178465302
mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,cross_task,accuracy,1.0,0.0,0.5,0.5018288039121372,0.021826957637864446
mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,cross_task,macro_f1,1.0,0.0,0.5,0.38757130942950807,0.03302084300016722
mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,cross_task,roc_auc,1.0,0.0,0.5,0.5043184387037183,0.014999957616098823
mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,grouped_entity,accuracy,1.0,0.0,0.5,0.4785453216374269,0.009362576980395243
mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,grouped_entity,macro_f1,1.0,0.0,0.5,0.46582469361815926,0.005726131266953699
mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,grouped_entity,roc_auc,1.0,0.0,0.5,0.47937312012832844,0.00911466880749194
mediation_only,requires_history,TRUSTED-LOCAL,FULL,cross_policy,accuracy,0.5023809523809524,0.07531741850233838,0.5,0.4894345238095238,0.0073335571883994454
mediation_only,requires_history,TRUSTED-LOCAL,FULL,cross_policy,macro_f1,0.45359143115240674,0.03411315030067618,0.5,0.440301804874544,0.01374472465503365
mediation_only,requires_history,TRUSTED-LOCAL,FULL,cross_policy,roc_auc,0.46088081671415004,0.06952673584652212,0.5,0.4892847368073001,0.01630275169799481
mediation_only,requires_history,TRUSTED-LOCAL,FULL,cross_task,accuracy,0.4639650472983806,0.04467420991092385,0.5,0.5179310465768799,0.008646007259334709
mediation_only,requires_history,TRUSTED-LOCAL,FULL,cross_task,macro_f1,0.3162863886703383,0.02088556909736643,0.5,0.4149174290475843,0.010260872869280646
mediation_only,requires_history,TRUSTED-LOCAL,FULL,cross_task,roc_auc,0.5518925518925519,0.051593622951884265,0.5,0.5173993642951059,0.0070392079105984166
mediation_only,requires_history,TRUSTED-LOCAL,FULL,grouped_entity,accuracy,0.45847953216374265,0.06817820651129672,0.5,0.46560672514619883,0.020088112988472538
mediation_only,requires_history,TRUSTED-LOCAL,FULL,grouped_entity,macro_f1,0.38015493278651175,0.08305161670122242,0.5,0.4399385037054839,0.019205678893622565
mediation_only,requires_history,TRUSTED-LOCAL,FULL,grouped_entity,roc_auc,0.48852813852813853,0.06553314041494154,0.5,0.4780495546120546,0.020050067030101308
mediation_only,requires_history,TRUSTED-LOCAL,SYMBOLIC,cross_policy,accuracy,0.4785714285714286,0.042636114344645364,0.5,0.49246031746031743,0.008475903906189526
mediation_only,requires_history,TRUSTED-LOCAL,SYMBOLIC,cross_policy,macro_f1,0.40347483696320907,0.04021025519776061,0.5,0.44017892729158886,0.010944653272754547
mediation_only,requires_history,TRUSTED-LOCAL,SYMBOLIC,cross_policy,roc_auc,0.44387464387464387,0.008384010808867321,0.5,0.4960950790847511,0.018129211728736896
mediation_only,requires_history,TRUSTED-LOCAL,SYMBOLIC,cross_task,accuracy,0.4639650472983806,0.04467420991092385,0.5,0.48949940877024206,0.008718112301434287
mediation_only,requires_history,TRUSTED-LOCAL,SYMBOLIC,cross_task,macro_f1,0.3162863886703383,0.02088556909736643,0.5,0.32687762308268803,0.00460677295740961
mediation_only,requires_history,TRUSTED-LOCAL,SYMBOLIC,cross_task,roc_auc,0.5,0.0,0.5,0.5,0.0
mediation_only,requires_history,TRUSTED-LOCAL,SYMBOLIC,grouped_entity,accuracy,0.45380116959064326,0.0233332600505965,0.5,0.45416666666666666,0.024610793855693643
mediation_only,requires_history,TRUSTED-LOCAL,SYMBOLIC,grouped_entity,macro_f1,0.31196889530222865,0.011161186357548486,0.5,0.4238098859447452,0.029033986190162
mediation_only,requires_history,TRUSTED-LOCAL,SYMBOLIC,grouped_entity,roc_auc,0.4488997113997114,0.0950178682984515,0.5,0.4646122974247974,0.014575704336326675
mediation_only,requires_history,UNIFIED-OBLIVIOUS,FULL,cross_policy,accuracy,0.4579365079365079,0.11312795405385079,0.5,0.49174107142857143,0.024828086042398063
mediation_only,requires_history,UNIFIED-OBLIVIOUS,FULL,cross_policy,macro_f1,0.41253227244618923,0.07270867354458486,0.5,0.4589729562375218,0.03113672686154701
mediation_only,requires_history,UNIFIED-OBLIVIOUS,FULL,cross_policy,roc_auc,0.44356837606837607,0.040510938414213944,0.5,0.4987110056155602,0.034184857168749264
mediation_only,requires_history,UNIFIED-OBLIVIOUS,FULL,cross_task,accuracy,0.5245711079044413,0.05187064202148976,0.5,0.51063462000962,0.030019793983441404
mediation_only,requires_history,UNIFIED-OBLIVIOUS,FULL,cross_task,macro_f1,0.45336565166893905,0.1029931815948713,0.5,0.42423274221689905,0.033585021752514106
mediation_only,requires_history,UNIFIED-OBLIVIOUS,FULL,cross_task,roc_auc,0.5904761904761905,0.07836145741785228,0.5,0.5122690586259036,0.03388274080389751
mediation_only,requires_history,UNIFIED-OBLIVIOUS,FULL,grouped_entity,accuracy,0.4093567251461988,0.05789178325503898,0.5,0.45650584795321636,0.027595634360740657
mediation_only,requires_history,UNIFIED-OBLIVIOUS,FULL,grouped_entity,macro_f1,0.3450761798587886,0.0672415234992521,0.5,0.43059484686372695,0.02880726261755381
mediation_only,requires_history,UNIFIED-OBLIVIOUS,FULL,grouped_entity,roc_auc,0.48104256854256855,0.04716885806397243,0.5,0.4691627864804948,0.030767408737323042
mediation_only,requires_history,UNIFIED-OBLIVIOUS,SYMBOLIC,cross_policy,accuracy,0.45476190476190476,0.015183433706118245,0.5,0.4909722222222222,0.009329881140655829
mediation_only,requires_history,UNIFIED-OBLIVIOUS,SYMBOLIC,cross_policy,macro_f1,0.4360758725976117,0.013417644325172945,0.5,0.45185730410520325,0.010892354176027349
mediation_only,requires_history,UNIFIED-OBLIVIOUS,SYMBOLIC,cross_policy,roc_auc,0.44387464387464387,0.008384010808867321,0.5,0.4960950790847511,0.018129211728736896
mediation_only,requires_history,UNIFIED-OBLIVIOUS,SYMBOLIC,cross_task,accuracy,0.4639650472983806,0.04467420991092385,0.5,0.48949940877024206,0.008718112301434287
mediation_only,requires_history,UNIFIED-OBLIVIOUS,SYMBOLIC,cross_task,macro_f1,0.3162863886703383,0.02088556909736643,0.5,0.32687762308268803,0.00460677295740961
mediation_only,requires_history,UNIFIED-OBLIVIOUS,SYMBOLIC,cross_task,roc_auc,0.5,0.0,0.5,0.5,0.0
mediation_only,requires_history,UNIFIED-OBLIVIOUS,SYMBOLIC,grouped_entity,accuracy,0.49356725146198827,0.028118866152447512,0.5,0.4591374269005848,0.023476409527776125
mediation_only,requires_history,UNIFIED-OBLIVIOUS,SYMBOLIC,grouped_entity,macro_f1,0.44232804232804235,0.08905486519795029,0.5,0.4368946095227286,0.02545016268562685
mediation_only,requires_history,UNIFIED-OBLIVIOUS,SYMBOLIC,grouped_entity,roc_auc,0.4488997113997114,0.0950178682984515,0.5,0.4657697048322048,0.013028883248330559
