seed,episode_id,variant,matches_original,authorized,effect_count,attempts
0,24,ORIGINAL-MEDIATOR,True,False,0,1
0,24,PER-SERVICE-ORAM,True,False,0,1
0,24,UNIFIED-OBLIVIOUS,True,False,0,1
0,24,FIXED-CANONICAL,True,False,0,1
0,24,TRUSTED-LOCAL,True,False,0,1
0,25,ORIGINAL-MEDIATOR,True,True,1,2
0,25,PER-SERVICE-ORAM,True,True,1,2
0,25,UNIFIED-OBLIVIOUS,True,True,1,2
0,25,FIXED-CANONICAL,True,True,1,2
0,25,TRUSTED-LOCAL,True,True,1,2
0,26,ORIGINAL-MEDIATOR,True,True,1,2
0,26,PER-SERVICE-ORAM,True,True,1,2
0,26,UNIFIED-OBLIVIOUS,True,True,1,2
0,26,FIXED-CANONICAL,True,True,1,2
0,26,TRUSTED-LOCAL,True,True,1,2
0,27,ORIGINAL-MEDIATOR,True,False,0,2
0,27,PER-SERVICE-ORAM,True,False,0,2
0,27,UNIFIED-OBLIVIOUS,True,False,0,2
0,27,FIXED-CANONICAL,True,False,0,2
0,27,TRUSTED-LOCAL,True,False,0,2
0,28,ORIGINAL-MEDIATOR,True,False,0,1
0,28,PER-SERVICE-ORAM,True,False,0,1
0,28,UNIFIED-OBLIVIOUS,True,False,0,1
0,28,FIXED-CANONICAL,True,False,0,1
0,28,TRUSTED-LOCAL,True,False,0,1
0,29,ORIGINAL-MEDIATOR,True,True,1,2
0,29,PER-SERVICE-ORAM,True,True,1,2
0,29,UNIFIED-OBLIVIOUS,True,True,1,2
0,29,FIXED-CANONICAL,True,True,1,2
0,29,TRUSTED-LOCAL,True,True,1,2
0,30,ORIGINAL-MEDIATOR,True,False,0,1
0,30,PER-SERVICE-ORAM,True,False,0,1
0,30,UNIFIED-OBLIVIOUS,True,False,0,1
0,30,FIXED-CANONICAL,True,False,0,1
0,30,TRUSTED-LOCAL,True,False,0,1
0,31,ORIGINAL-MEDIATOR,True,True,1,1
0,31,PER-SERVICE-ORAM,True,True,1,1
0,31,UNIFIED-OBLIVIOUS,True,True,1,1
0,31,FIXED-CANONICAL,True,True,1,1
0,31,TRUSTED-LOCAL,True,True,1,1
0,32,ORIGINAL-MEDIATOR,True,True,1,2
0,32,PER-SERVICE-ORAM,True,True,1,2
0,32,UNIFIED-OBLIVIOUS,True,True,1,2
0,32,FIXED-CANONICAL,True,True,1,2
0,32,TRUSTED-LOCAL,True,True,1,2
0,33,ORIGINAL-MEDIATOR,True,False,0,2
0,33,PER-SERVICE-ORAM,True,False,0,2
0,33,UNIFIED-OBLIVIOUS,True,False,0,2
0,33,FIXED-CANONICAL,True,False,0,2
0,33,TRUSTED-LOCAL,True,False,0,2
0,34,ORIGINAL-MEDIATOR,True,True,1,2
0,34,PER-SERVICE-ORAM,True,True,1,2
0,34,UNIFIED-OBLIVIOUS,True,True,1,2
0,34,FIXED-CANONICAL,True,True,1,2
0,34,TRUSTED-LOCAL,True,True,1,2
0,35,ORIGINAL-MEDIATOR,True,True,1,1
0,35,PER-SERVICE-ORAM,True,True,1,1
0,35,UNIFIED-OBLIVIOUS,True,True,1,1
0,35,FIXED-CANONICAL,True,True,1,1
0,35,TRUSTED-LOCAL,True,True,1,1
0,36,ORIGINAL-MEDIATOR,True,False,0,1
0,36,PER-SERVICE-ORAM,True,False,0,1
0,36,UNIFIED-OBLIVIOUS,True,False,0,1
0,36,FIXED-CANONICAL,True,False,0,1
0,36,TRUSTED-LOCAL,True,False,0,1
0,37,ORIGINAL-MEDIATOR,True,False,0,2
0,37,PER-SERVICE-ORAM,True,False,0,2
0,37,UNIFIED-OBLIVIOUS,True,False,0,2
0,37,FIXED-CANONICAL,True,False,0,2
0,37,TRUSTED-LOCAL,True,False,0,2
0,38,ORIGINAL-MEDIATOR,True,True,1,1
0,38,PER-SERVICE-ORAM,True,True,1,1
0,38,UNIFIED-OBLIVIOUS,True,True,1,1
0,38,FIXED-CANONICAL,True,True,1,1
0,38,TRUSTED-LOCAL,True,True,1,1
0,39,ORIGINAL-MEDIATOR,True,False,0,2
0,39,PER-SERVICE-ORAM,True,False,0,2
0,39,UNIFIED-OBLIVIOUS,True,False,0,2
0,39,FIXED-CANONICAL,True,False,0,2
0,39,TRUSTED-LOCAL,True,False,0,2
0,40,ORIGINAL-MEDIATOR,True,True,1,1
0,40,PER-SERVICE-ORAM,True,True,1,1
0,40,UNIFIED-OBLIVIOUS,True,True,1,1
0,40,FIXED-CANONICAL,True,True,1,1
0,40,TRUSTED-LOCAL,True,True,1,1
0,41,ORIGINAL-MEDIATOR,True,True,1,1
0,41,PER-SERVICE-ORAM,True,True,1,1
0,41,UNIFIED-OBLIVIOUS,True,True,1,1
0,41,FIXED-CANONICAL,True,True,1,1
0,41,TRUSTED-LOCAL,True,True,1,1
0,42,ORIGINAL-MEDIATOR,True,True,1,1
0,42,PER-SERVICE-ORAM,True,True,1,1
0,42,UNIFIED-OBLIVIOUS,True,True,1,1
0,42,FIXED-CANONICAL,True,True,1,1
0,42,TRUSTED-LOCAL,True,True,1,1
0,43,ORIGINAL-MEDIATOR,True,True,1,2
0,43,PER-SERVICE-ORAM,True,True,1,2
0,43,UNIFIED-OBLIVIOUS,True,True,1,2
0,43,FIXED-CANONICAL,True,True,1,2
0,43,TRUSTED-LOCAL,True,True,1,2
0,44,ORIGINAL-MEDIATOR,True,True,1,1
0,44,PER-SERVICE-ORAM,True,True,1,1
0,44,UNIFIED-OBLIVIOUS,True,True,1,1
0,44,FIXED-CANONICAL,True,True,1,1
0,44,TRUSTED-LOCAL,True,True,1,1
0,45,ORIGINAL-MEDIATOR,True,False,0,1
0,45,PER-SERVICE-ORAM,True,False,0,1
0,45,UNIFIED-OBLIVIOUS,True,False,0,1
0,45,FIXED-CANONICAL,True,False,0,1
0,45,TRUSTED-LOCAL,True,False,0,1
0,46,ORIGINAL-MEDIATOR,True,True,1,1
0,46,PER-SERVICE-ORAM,True,True,1,1
0,46,UNIFIED-OBLIVIOUS,True,True,1,1
0,46,FIXED-CANONICAL,True,True,1,1
0,46,TRUSTED-LOCAL,True,True,1,1
0,47,ORIGINAL-MEDIATOR,True,True,1,2
0,47,PER-SERVICE-ORAM,True,True,1,2
0,47,UNIFIED-OBLIVIOUS,True,True,1,2
0,47,FIXED-CANONICAL,True,True,1,2
0,47,TRUSTED-LOCAL,True,True,1,2
