version,frozen_total_behavior_instances,action_relevant_denominator,mediated,partial,unsupported,fully_mediated_fraction,status
V6,7386,1370,894,473,3,0.652555,FROZEN
V7,7386,1370,894,473,3,0.652555,NO_UNTESTED_RELABELING
