admitted_real_agent_accesses,agent_access_bytes,agent_loader_failures,dummy_heavy_agent_executions,dummy_heavy_llm_executions,dummy_heavy_tool_executions,dummy_pir_queries,dummy_psi_queries,first_agent_retrieval_latency_ms,framework,framework_agent_as_tool_invocations,framework_model_invocations,gateway_bytes,gateway_public_sessions,gateway_relay_cells,overflow_count,profile_capacity_failures,profile_conformance,public_profile_instances,public_session_wall_ms,real_agent_executions,real_external_tool_api_calls,real_pir_queries,real_psi_queries,real_remote_llm_calls,repetition,retrieval_count,retrieval_failures,retrieval_latencies_ms_json,run_id,scheduled_agent_access_slots,semantic_applicable,semantic_success,silent_loss_count,source_campaign,task_latency_ms,total_agent_resolution_latency_ms,total_public_bytes,workload
0,9405600,0,0,0,0,4,4,,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7049.423446,0,0,0,0,0,2,0,0,[],V15C-018-OPENAI-IDLE_PROFILE_ONLY-R2,4,False,,0,V15D_P0_CORE,1136.683105,,10384559,IDLE_PROFILE_ONLY
1,9405600,0,0,0,0,3,3,476.238224,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7094.26046,1,0,1,1,0,2,1,0,[476.238224],V15C-019-MICROSOFT-PROVISIONED_ORDINARY-R2,4,True,True,0,V15D_P0_CORE,1185.234568,476.238224,10384559,PROVISIONED_ORDINARY
1,9405600,0,0,0,0,4,3,7301.306487,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7301.306487,1,0,0,1,0,2,1,0,[7301.306487],V15C-020-MICROSOFT-UNPROVISIONED_ORDINARY-R2,4,True,True,0,V15D_P0_CORE,7303.840889,7301.306487,10384559,UNPROVISIONED_ORDINARY
2,9405600,0,0,0,0,2,2,514.99031,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7139.283755,2,0,2,2,0,2,2,0,"[514.99031, 694.585777]",V15C-021-MICROSOFT-NESTED_AGENT_AS_TOOL-R2,4,True,True,0,V15D_P0_CORE,1216.370388,1209.576087,10384559,PROVISIONED_NESTED_AGENT_AS_TOOL
3,9405600,0,0,0,0,1,1,551.74517,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7077.684108,3,0,3,3,0,2,3,0,"[551.74517, 803.123016, 1166.216155]",V15C-022-MICROSOFT-REPEATED_AGENT-R2,4,True,True,0,V15D_P0_CORE,1170.471175,2521.084341,10384559,REPEATED_AGENT
0,9405600,0,0,0,0,4,4,,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7025.597594,0,0,0,0,0,2,0,0,[],V15C-024-MICROSOFT-IDLE_PROFILE_ONLY-R2,4,False,,0,V15D_P0_CORE,1155.256667,,10384559,IDLE_PROFILE_ONLY
1,9405600,0,0,0,0,3,3,486.352594,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7101.255868,1,0,1,1,0,3,1,0,[486.352594],V15C-025-OPENAI-PROVISIONED_ORDINARY-R3,4,True,True,0,V15D_P0_CORE,1191.888618,486.352594,10384559,PROVISIONED_ORDINARY
1,9405600,0,0,0,0,4,3,7282.887364,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7282.887364,1,0,0,1,0,3,1,0,[7282.887364],V15C-026-OPENAI-UNPROVISIONED_ORDINARY-R3,4,True,True,0,V15D_P0_CORE,7287.620287,7282.887364,10384559,UNPROVISIONED_ORDINARY
2,9405600,0,0,0,0,2,2,480.189201,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7087.21142,2,0,2,2,0,3,2,0,"[480.189201, 685.125622]",V15C-027-OPENAI-NESTED_AGENT_AS_TOOL-R3,4,True,True,0,V15D_P0_CORE,1187.531747,1165.3148230000002,10384559,PROVISIONED_NESTED_AGENT_AS_TOOL
3,9405600,0,0,0,0,1,1,472.694636,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7028.520501,3,0,3,3,0,3,3,0,"[472.694636, 825.671898, 1145.788385]",V15C-028-OPENAI-REPEATED_AGENT-R3,4,True,True,0,V15D_P0_CORE,1152.422635,2444.154919,10384559,REPEATED_AGENT
