attack,model,metric,score,macro_f1,ci_low,ci_high,permutation_baseline,permutation_p_value,samples,chance,confusion_matrix,accept,feature_set,split
TOOL_CLASS_ABLATION,LogisticRegression,TOP1,0.16666666666666666,0.1761904761904762,0.041666666666666664,0.3333333333333333,0.335,0.9850746268656716,24,0.3333333333333333,"[[1, 4, 3], [6, 1, 1], [5, 1, 2]]",True,ABSOLUTE_PHASE,FROZEN_CONFIRMATORY
TOOL_CLASS_ABLATION,RandomForest,TOP1,0.3333333333333333,0.32844932844932845,0.125,0.5010416666666669,0.3335416666666666,0.582089552238806,24,0.3333333333333333,"[[4, 4, 0], [5, 1, 2], [4, 1, 3]]",True,ABSOLUTE_PHASE,FROZEN_CONFIRMATORY
TOOL_REPEATED_TARGET_LINKABILITY,LogisticRegression,AUC,0.49534970238095233,,0.4293940090427434,0.5646542315763508,0.5298201884920635,0.9154228855721394,276,0.5,,True,SOCKET_TIMING_ALL,FROZEN_CONFIRMATORY
TOOL_REPEATED_TARGET_LINKABILITY,RandomForest,AUC,0.5215773809523809,,0.4478658171811438,0.599762119595351,0.5302675471230158,0.5920398009950248,276,0.5,,True,SOCKET_TIMING_ALL,FROZEN_CONFIRMATORY
TOOL_FREQUENCY_TSEQ0_V_TSEQ2,LogisticRegression,AUC,0.6388888888888888,,0.31428571428571433,0.9428968253968254,0.6391666666666667,0.4975124378109453,12,0.5,,False,SOCKET_TIMING_ALL,FROZEN_CONFIRMATORY
TOOL_FREQUENCY_TSEQ0_V_TSEQ2,RandomForest,AUC,0.6666666666666667,,0.3118303571428572,1.0,0.6340277777777777,0.30845771144278605,12,0.5,,False,SOCKET_TIMING_ALL,FROZEN_CONFIRMATORY
TOOL_RARE_TSEQ0_V_TSEQ1,LogisticRegression,AUC,0.27777777777777785,,0.0,0.6666666666666666,0.6325000000000001,0.208955223880597,12,0.5,,True,SOCKET_TIMING_ALL,FROZEN_CONFIRMATORY
TOOL_RARE_TSEQ0_V_TSEQ1,RandomForest,AUC,0.26388888888888884,,0.0,0.6291765873015874,0.6436805555555556,0.18407960199004975,12,0.5,,True,SOCKET_TIMING_ALL,FROZEN_CONFIRMATORY
TOOL_TRANSITION_TSEQ3_V_TSEQ4,LogisticRegression,AUC,0.7083333333333334,,0.34249999999999997,1.0,0.6468055555555556,0.24875621890547264,12,0.5,,False,SOCKET_TIMING_ALL,FROZEN_CONFIRMATORY
TOOL_TRANSITION_TSEQ3_V_TSEQ4,RandomForest,AUC,0.36111111111111116,,0.0,0.6892410714285718,0.6601388888888889,0.6119402985074627,12,0.5,,True,SOCKET_TIMING_ALL,FROZEN_CONFIRMATORY
