profile,private_route_ground_truth,public_route,public_pir_operation,public_gateway_operation,outer_destination,membership_backend,cryptographic_membership_status,capsule_lookup_backend,mean_local_resolution_us,p95_local_resolution_us,route_bit_public,public_view_pair_equal,security_interpretation
STRICT,INTERNAL,OPAQUE_COMMON_ROUTE,FIXED_PRIVATE_LOOKUP,FIXED_COMMON_GATEWAY_SLOT,CommonActionGatewayV2,LOCAL_TEE_MEMBERSHIP,NOT_APPLICABLE_CATALOG_INSIDE_TEE,FUNCTIONAL_CAPSULE_LOOKUP_NOT_PIR_EVIDENCE,2.7425,2.9,False,True,symbolic/functional local backend; not hardware-TEE or live-PIR privacy evidence
STRICT,EXTERNAL,OPAQUE_COMMON_ROUTE,FIXED_PRIVATE_LOOKUP,FIXED_COMMON_GATEWAY_SLOT,CommonActionGatewayV2,LOCAL_TEE_MEMBERSHIP,NOT_APPLICABLE_CATALOG_INSIDE_TEE,FUNCTIONAL_CAPSULE_LOOKUP_NOT_PIR_EVIDENCE,3.2843,3.5,False,True,symbolic/functional local backend; not hardware-TEE or live-PIR privacy evidence
CONFIDENTIAL_ENTERPRISE,INTERNAL,ENTERPRISE,FIXED_PRIVATE_LOOKUP,ENTERPRISE,CommonActionGatewayV2,LOCAL_TEE_MEMBERSHIP,NOT_APPLICABLE_CATALOG_INSIDE_TEE,FUNCTIONAL_CAPSULE_LOOKUP_NOT_PIR_EVIDENCE,2.9166999999999996,3.1,True,False,symbolic/functional local backend; not hardware-TEE or live-PIR privacy evidence
CONFIDENTIAL_ENTERPRISE,EXTERNAL,EXTERNAL,NONE_PUBLIC_ROUTE,EXTERNAL,CommonActionGatewayV2,LOCAL_TEE_MEMBERSHIP,NOT_APPLICABLE_CATALOG_INSIDE_TEE,FUNCTIONAL_CAPSULE_LOOKUP_NOT_PIR_EVIDENCE,2.2117,2.3,True,False,symbolic/functional local backend; not hardware-TEE or live-PIR privacy evidence
ENTERPRISE_EFFICIENT,INTERNAL,ENTERPRISE,FIXED_PRIVATE_LOOKUP,ENTERPRISE,CommonActionGatewayV2,LOCAL_TEE_MEMBERSHIP,NOT_APPLICABLE_CATALOG_INSIDE_TEE,FUNCTIONAL_CAPSULE_LOOKUP_NOT_PIR_EVIDENCE,2.9654000000000003,3.1,True,False,symbolic/functional local backend; not hardware-TEE or live-PIR privacy evidence
ENTERPRISE_EFFICIENT,EXTERNAL,EXTERNAL,NONE_PUBLIC_ROUTE,EXTERNAL,CommonActionGatewayV2,LOCAL_TEE_MEMBERSHIP,NOT_APPLICABLE_CATALOG_INSIDE_TEE,FUNCTIONAL_CAPSULE_LOOKUP_NOT_PIR_EVIDENCE,2.1631,2.3,True,False,symbolic/functional local backend; not hardware-TEE or live-PIR privacy evidence
