runtime,family,variant,feature_set,model,mean_auc,ci_low,ci_high,permutation_baseline,permutation_p_value,episodes,tasks,split
Microsoft Agent Framework,AUTHORIZATION,M2,RECEIVER_PROCESS,RandomForest,0.9444444444444445,0.8996256510416667,0.9780381944444444,0.5047786458333333,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M2,RECEIVER_PROCESS,RandomForest,0.97265625,0.911279296875,1.0,0.5137109375,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M2,COMMIT_TIME,LogisticRegression,0.5520833333333333,0.46407335069444444,0.6310221354166666,0.5162239583333333,0.23529411764705882,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M2,COMMIT_TIME,LogisticRegression,0.6796875,0.490234375,0.8223632812499999,0.507421875,0.0392156862745098,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M2,COMMIT_TIME,RandomForest,0.4898003472222222,0.39861653645833334,0.587966579861111,0.4991319444444444,0.6666666666666666,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M2,COMMIT_TIME,RandomForest,0.53125,0.32470703125,0.6787109375,0.5178515625,0.5294117647058824,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL,LogisticRegression,0.5696614583333333,0.3781412760416667,0.7083224826388889,0.4989453125,0.11764705882352941,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL,LogisticRegression,0.484375,0.24140625,0.678515625,0.5096875,0.6666666666666666,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL,RandomForest,0.5863715277777778,0.5053656684027777,0.7016547309027777,0.5032074652777778,0.09803921568627451,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL,RandomForest,0.5859375,0.4548828125,0.75908203125,0.4969140625,0.19607843137254902,32,16,WITHIN_TASK_REPETITION_HOLDOUT
