framework,pinned_commit,relative_path,bytes,discovered_materialized_python_file,included_ir_v1,inclusion_rule,exclusion_reason
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_stream.py,3531,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/input_guardrails.py,3755,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/llm_as_a_judge.py,2866,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/output_guardrails.py,2379,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/parallelization.py,1696,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/routing.py,2502,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/streaming_guardrails.py,3305,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/auto_mode.py,1208,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/agent_lifecycle_example.py,4445,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/dynamic_system_prompt.py,1668,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/hello_world.py,424,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/hello_world_gpt_5.py,1072,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/hello_world_gpt_oss.py,1255,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/image_tool_output.py,1023,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/lifecycle_example.py,7578,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/local_file.py,1131,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/local_image.py,1133,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/non_strict_output_type.py,2735,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/previous_response_id.py,2398,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/prompt_template.py,2129,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/remote_image.py,706,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/remote_pdf.py,646,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/retry.py,3652,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/retry_litellm.py,3778,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_function_call_args.py,3514,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_items.py,2071,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_text.py,556,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_ws.py,8198,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/tool_guardrails.py,6386,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/tools.py,1012,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/usage_tracking.py,1299,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/customer_service/main.py,6864,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/__init__.py,0,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/__init__.py,0,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/financials_agent.py,739,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/planner_agent.py,1068,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/risk_agent.py,655,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/search_agent.py,922,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/verifier_agent.py,2044,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/writer_agent.py,1960,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/main.py,719,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/manager.py,11078,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/printer.py,1477,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/handoffs/message_filter.py,6104,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/handoffs/message_filter_streaming.py,6086,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/__init__.py,0,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/connectors.py,2381,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/human_in_the_loop.py,4510,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/on_approval.py,2804,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/simple.py,2083,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/filesystem_example/main.py,1925,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/get_all_mcp_tools_example/main.py,5590,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/git_example/main.py,1504,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/manager_example/app.py,3918,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/manager_example/mcp_server.py,531,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/manager_example/smoke_test.py,4662,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/prompt_server/main.py,4396,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/prompt_server/server.py,1496,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/sse_example/main.py,3376,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/sse_example/server.py,1172,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/sse_remote_example/main.py,3032,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/streamable_http_remote_example/main.py,1279,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/streamablehttp_custom_client_example/main.py,4869,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/streamablehttp_custom_client_example/server.py,691,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/streamablehttp_example/main.py,3685,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/streamablehttp_example/server.py,1227,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/tool_filter_example/main.py,2832,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/advanced_sqlite_session_example.py,10634,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/compaction_session_example.py,2974,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/compaction_session_stateless_example.py,2810,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/dapr_session_example.py,23447,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/encrypted_session_example.py,3802,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/file_hitl_example.py,5790,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/file_session.py,4980,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/hitl_session_scenario.py,13496,YES,YES,PINNED_EXAMPLE_ROOT,
