baseline,status,selection_ms,pir_ms,gateway_ms,provider_ms,cover_wait_ms,total_privacy_overhead_ms,bytes,route_leakage,dummy_heavy_ops
B0_DIRECT_NATIVE,MEASURED_LOCAL_MICROBENCH,0.00019187999999999999,0,0,EXCLUDED,0,6.668e-05,0,CONCRETE_DESTINATION,0
B1_DIRECT_TLS,NOT_AVAILABLE_OFFLINE_NOT_IMPLEMENTED,,,,EXCLUDED,,,,DESTINATION_COUNT_ORDER_TIMING,0
B2_PIR_ONLY,MEASURED_COMPONENTS,0.00019187999999999999,52.24,0,EXCLUDED,0,52.24,73568,CONCRETE_POST_SELECTION_DESTINATION,0
B3_COMMON_GATEWAY,NOT_MEASURED_AS_ISOLATED_VARIANT,,0,,EXCLUDED,0,,,COUNT_ORDER_SIZE_TIMING,0
B4_GATEWAY_FIXED_SIZE,NOT_MEASURED_AS_ISOLATED_VARIANT,,0,,EXCLUDED,,,,COUNT_ORDER_TIMING,0
B5_GATEWAY_FIXED_TRANSCRIPT,PRIOR_V5_DEVELOPMENT_EVIDENCE_ONLY,,0,,EXCLUDED,PUBLIC_PROFILE,,PROFILE_DEPENDENT,FINE_TIMING_OPEN,0
B6_V6_STRICT,PARTIAL_COMPONENTS_GATEWAY_ENVIRONMENT_BLOCKED,0.00019187999999999999,52.24,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551,EXCLUDED,PUBLIC_PROFILE,PARTIAL,73568,FINE_TIMING_RESOURCE_OPEN,0
B7_V6_ENTERPRISE_EFFICIENT,COMPONENT_MODEL_ONLY,0.00019187999999999999,8.442400000000001,EXTERNAL_ONLY,EXCLUDED,PROFILE_DEPENDENT,MIX_DEPENDENT,23208,INTERNAL_EXTERNAL_AND_CONFIGURED_TOOL_CLASS,0
