figure,panel,metric,condition,value,CI_low,CI_high,chance,sample_count,evidence_scope,p_value,p95,source_file,source_row,status
SCALE,online_latency,PIR,1000,2.170583,,,,30,CURRENT_FULL_SYSTEM,,3.349469099999996,FINAL_SCALE_RESULTS.csv,N=1000|PIR,ESTABLISHED
SCALE,online_latency,Combined,1000,41.544291,,,,30,CURRENT_FULL_SYSTEM,,45.1063134,FINAL_SCALE_RESULTS.csv,N=1000|Combined,ESTABLISHED
SCALE,online_latency,PSI,10000,51.5138855,,,,30,CURRENT_FULL_SYSTEM,,60.6652131,FINAL_SCALE_RESULTS.csv,N=10000|PSI,ESTABLISHED
SCALE,online_latency,PIR,10000,10.225237499999999,,,,30,CURRENT_FULL_SYSTEM,,16.70066035,FINAL_SCALE_RESULTS.csv,N=10000|PIR,ESTABLISHED
SCALE,online_latency,Combined,10000,51.5715275,,,,30,CURRENT_FULL_SYSTEM,,60.7337938,FINAL_SCALE_RESULTS.csv,N=10000|Combined,ESTABLISHED
SCALE,online_latency,PSI,50000,48.3692955,,,,30,CURRENT_FULL_SYSTEM,,51.00109309999999,FINAL_SCALE_RESULTS.csv,N=50000|PSI,ESTABLISHED
SCALE,online_latency,PIR,50000,31.598169,,,,30,CURRENT_FULL_SYSTEM,,32.040396199999996,FINAL_SCALE_RESULTS.csv,N=50000|PIR,ESTABLISHED
SCALE,online_latency,Combined,50000,48.4239245,,,,30,CURRENT_FULL_SYSTEM,,51.051559749999996,FINAL_SCALE_RESULTS.csv,N=50000|Combined,ESTABLISHED
SCALE,online_latency,PSI,100000,50.560563,,,,30,CURRENT_FULL_SYSTEM,,58.810514649999995,FINAL_SCALE_RESULTS.csv,N=100000|PSI,ESTABLISHED
SCALE,online_latency,PIR,100000,56.937231499999996,,,,30,CURRENT_FULL_SYSTEM,,61.57527704999999,FINAL_SCALE_RESULTS.csv,N=100000|PIR,ESTABLISHED
SCALE,online_latency,Combined,100000,57.1728795,,,,30,CURRENT_FULL_SYSTEM,,61.81808199999999,FINAL_SCALE_RESULTS.csv,N=100000|Combined,ESTABLISHED
TRAFFIC,base_profile,MiB,APSI,8.689239501953125,,,,,CURRENT_FULL_SYSTEM,,,FINAL_OVERHEAD_RESULTS.csv,APSI_bytes_per_profile|AGENT_ACCESS,ESTABLISHED
TRAFFIC,base_profile,MiB,SimplePIR,0.2806396484375,,,,,CURRENT_FULL_SYSTEM,,,FINAL_OVERHEAD_RESULTS.csv,SimplePIR_bytes_per_profile|AGENT_ACCESS,ESTABLISHED
TRAFFIC,base_profile,MiB,Gateway,0.9336080551147461,,,,,CURRENT_FULL_SYSTEM,,,FINAL_OVERHEAD_RESULTS.csv,bytes_per_profile|GATEWAY,ESTABLISHED
