framework,source_path,source_sha,source_line,action_family,adapter_id,native_executor_verified,canonical_executor_verified,external_network_required,prior_exclusion_status,deterministic_selection_score,eligible,detail,argument_name,source_compatibility_result,compatibility_scope
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,807,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,14c977eb55cef7cba195a8984de146a798dd5e8aee873ec361ae1c814aca44ed,false,old_guarded_tool,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,806,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,37436e7f6dad64c98f623ac16b7acc1ecabb3f15616e1cd03d4f1d0fcb56ac1c,false,tool,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,812,state_memory,NONE,false,false,unknown,CLEAR,421bf23d30a8a8d9727514d9cfeb43955813a768bb7d51b6e3848a5b52091ff4,false,AgentSession,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,813,instructions,NONE,false,false,unknown,CLEAR,8189feeda663f7dc4d475a15c11a608c60bc6942d53faeac6efe7d258560d2c3,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,826,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,30383692505afafbb858924dca427f932305491a119ff33a3341cc2910e9116f,false,new_guarded_tool,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,825,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,0d04460226daaefc6a748c4b335922e57f435d1cd2f8d9e69ffeadb01c766caa,false,tool,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,831,instructions,NONE,false,false,unknown,EXCLUDED,ea9c5d9934a71150a41f2878c965c5773ff0e4b2631b965215c04339958605b1,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,849,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,b1b3fbc5c239aecd21f1cdc9d88741fc36589cb3a85ecbecaba9bad03f9e7a3c,false,guarded_tool,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,848,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,EXCLUDED,939a8b9ebfbf4f86e92cfa672aee2a002ede36fe94baf42316c1fb525b41463b,false,tool,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,854,state_memory,NONE,false,false,unknown,CLEAR,da7f3ad0c6e9b8067e2a4f7a62bd537a8b6715cffbffd4cda3eb5653e5ae581d,false,AgentSession,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,855,instructions,NONE,false,false,unknown,CLEAR,1b6f2c69975c5919f8e884ec1491d2d766072071444c41c65ebc81ce3b6af429,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,868,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,a40aa489bb1b757f7a548b841b89710b9dc8870173a6b8e336f1a580afb40089,false,other_tool,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,867,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,243623547ffe9d2a1992872b2e53ce27f43fb2f4e51282d34c8cacec1f8ee767,false,tool,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,871,instructions,NONE,false,false,unknown,CLEAR,ceceee6e21c33c239795821da62d642e039c29be2f77cd0f7d93e3ef9f355762,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,889,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,49ca1ab92e170eb9bf2490b611e7d14b5e49fa77b43f73d23c039ce1ac050a43,false,lookup_records,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,888,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,62f85271e04c430c8855886f32b2809f3b62353c3df0b47dbf15331f1c419804,false,tool,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,895,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,783d00703f3184007fb60dc43b46a9d34f2161f2dfc3fcf6d6bb5e17bbc37fd0,false,write_record,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,894,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,493afead96275d6e84e4626e99852247897dcfb0f9bb9e0cba5c52619f823d65,false,tool,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,900,instructions,NONE,false,false,unknown,CLEAR,5f807c4478b971b63adbc781fce502afee7846f9408c507cdaa7fc805f22da9e,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,902,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,80c09b00922ac9c935606f68a74c1ed4d2ea6bc8b37f0afeab137dae91ab75bd,false,"Name(id='lookup_records', ctx=Load())",,DETAIL_IS_NOT_A_CALLABLE_IDENTIFIER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,903,middleware,NONE,false,false,unknown,CLEAR,248659faa4d4c592b4830999d01c1b63ce20714403140db6ed3f6849ef9aff3b,false,middleware,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,905,state_memory,NONE,false,false,unknown,CLEAR,5f703203c4a8ac50b3bab4b9151ebd57864356190d6a769696daae529f02ec31,false,AgentSession,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,938,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,8c21a4c1b957445a20b9a82505e88ad04569f2e42e6c5f8e312765d0b6708b0d,false,auto_write,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,937,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,12cdaf55eebe6fba621898019330401cd73d7156f200c3481a885bf37712b8f5,false,tool,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,944,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,1b2bec7ea0038fc3ed19066bff5649b628aee8976ef2b956527c7afd2de59882,false,manual_write,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,943,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,e84f6f2599029f3d7299ee9ca0c2bc4f9efa3a7971df8d5518c206a894690ded,false,tool,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,953,instructions,NONE,false,false,unknown,CLEAR,cd1135177cd03c9b3e25eed351ef6bc47d4ed472a3b1ef027c8f644e45e35536,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,955,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,ff24dfd8b1cbf43f4529a966d7bc007647280abb4b6347abf23e27eaf2f1cff6,false,"Name(id='auto_write', ctx=Load())",,DETAIL_IS_NOT_A_CALLABLE_IDENTIFIER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,956,middleware,NONE,false,false,unknown,CLEAR,5b422f942f98272801200eac0468033fe2f45a04927bf866fea4ce37eb0c299e,false,middleware,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,958,state_memory,NONE,false,false,unknown,CLEAR,56d8c079de249fd4d9ec1a800cfbd7d66bf6b96270d7403b242f82eb323da672,false,AgentSession,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,994,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,d8f478de68fb6f2e67aa4409ba2273fb014729f3cab438e46e3752b48f2949b7,false,budgeted_tool,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,993,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,72edaf589bee11352d918acded794cddd71b0837b14c75200fae4eb1d9aa1402,false,tool,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,1003,instructions,NONE,false,false,unknown,CLEAR,5b248f7490a0231ec1216c154095774c762c17439d4e7a99b108734161c8d424,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,1005,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,c7aa09c52d523c30fa6e17101c5519998d2998906ab9bf91943c892620bcac1a,false,"Name(id='budgeted_tool', ctx=Load())",,DETAIL_IS_NOT_A_CALLABLE_IDENTIFIER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,1006,middleware,NONE,false,false,unknown,CLEAR,efe0bdc504e8c5a5ec7d433244da7d9caf56b2c32bec930644c24ef317b0e9ae,false,middleware,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,1008,state_memory,NONE,false,false,unknown,CLEAR,42bd583d5490e776573168b30cb83f6b291aa3db1cca7dec357ac2c0dce345cf,false,AgentSession,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,1051,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,373fff8deb0e4b0b18e4230c11097b4f5a9af9ea1c4d3538612100cc0289cde7,false,last_iteration_tool,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,1050,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,f7d1155d1fa87feb0400d89a6baf0a02286107df0bc7d9d1b6d15bc6978fe5bc,false,tool,,APPROVAL_OR_HITL_SEMANTICS_OUTSIDE_GENERIC_ADAPTER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,1057,instructions,NONE,false,false,unknown,CLEAR,1c705e7aa78355e5755134bd23d9523248dd527a734cb9c489fd969bc3d62daf,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,1059,tool,MICROSOFT_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,297ebcee553c90fe9da77a3bdc910b385fb601159adda2f82d07e84f888c32b0,false,"Name(id='last_iteration_tool', ctx=Load())",,DETAIL_IS_NOT_A_CALLABLE_IDENTIFIER,frozen corpus row resolves to a locally parseable @tool callable with one str argument; generic action name and argument-name adaptation only
Microsoft Agent Framework,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,1060,middleware,NONE,false,false,unknown,CLEAR,776a858fa67326ee2fbe413acdfaadc629d36544917500cffe25a0939dd22d93,false,middleware,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
