source,case,runner_processes,preconnects,public_sessions,client_relay_connections,relay_gateway_connections,rounds,passed
STRESS,TOOL_TO_TOOL:10,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:11,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:12,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:13,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:14,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:15,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:16,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:17,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:18,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:19,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:20,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:21,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:22,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:23,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:24,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:25,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:26,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:27,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:28,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:29,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:30,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:31,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:32,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:33,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:34,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:35,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:36,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:37,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:38,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:39,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:40,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:41,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:42,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:43,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:44,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:45,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:46,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:47,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:48,1,1,1,1,1,111,True
STRESS,TOOL_TO_TOOL:49,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:0,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:1,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:2,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:3,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:4,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:5,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:6,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:7,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:8,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:9,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:10,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:11,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:12,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:13,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:14,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:15,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:16,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:17,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:18,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:19,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:20,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:21,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:22,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:23,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:24,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:25,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:26,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:27,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:28,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:29,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:30,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:31,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:32,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:33,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:34,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:35,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:36,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:37,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:38,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:39,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:40,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:41,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:42,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:43,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:44,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:45,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:46,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:47,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:48,1,1,1,1,1,111,True
STRESS,TOOL_TO_AGENT_AS_TOOL:49,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:0,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:1,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:2,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:3,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:4,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:5,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:6,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:7,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:8,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:9,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:10,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:11,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:12,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:13,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:14,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:15,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:16,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:17,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:18,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:19,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:20,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:21,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:22,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:23,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:24,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:25,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:26,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:27,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:28,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:29,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:30,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:31,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:32,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:33,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:34,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:35,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:36,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:37,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:38,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:39,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:40,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:41,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:42,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:43,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:44,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:45,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:46,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:47,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:48,1,1,1,1,1,111,True
STRESS,TOOL_TO_HANDOFF:49,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:0,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:1,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:2,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:3,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:4,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:5,1,1,1,1,1,111,True
