framework,pinned_commit,relative_path,bytes,parse_error,agent_constructors,workflow_instances,tool_instances,handoff_edges,conditional_edges,loops,fanout_fanin,agents_as_tools,dynamic_instructions,guardrails,state_memory,hitl_resume,middleware,mcp_tool_invocation,nested_subagent_patterns
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_function_call_args.py,3514,,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_items.py,2071,,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_text.py,556,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_ws.py,8198,,2,0,6,0,4,2,0,2,0,0,4,3,0,0,2
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/tool_guardrails.py,6386,,1,0,6,0,4,2,0,0,0,3,0,2,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/tools.py,1012,,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/usage_tracking.py,1299,,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/customer_service/main.py,6864,,0,0,3,4,5,2,0,0,0,0,0,0,0,0,4
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/__init__.py,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/__init__.py,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/financials_agent.py,739,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/planner_agent.py,1068,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/risk_agent.py,655,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/search_agent.py,922,,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/verifier_agent.py,2044,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/writer_agent.py,1960,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/main.py,719,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/manager.py,11078,,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/printer.py,1477,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/handoffs/message_filter.py,6104,,3,0,2,2,2,0,0,0,0,0,0,0,0,0,2
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/handoffs/message_filter_streaming.py,6086,,3,0,2,2,2,0,0,0,0,0,0,0,0,0,2
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/__init__.py,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/connectors.py,2381,,1,0,1,0,3,1,0,0,0,0,0,0,0,1,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/human_in_the_loop.py,4510,,1,0,1,0,5,5,0,0,0,0,6,6,0,2,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/on_approval.py,2804,,1,0,1,0,3,2,0,0,0,0,1,0,0,1,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/simple.py,2083,,1,0,1,0,3,1,0,0,0,0,0,0,0,1,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/filesystem_example/main.py,1925,,1,0,0,0,2,0,1,0,0,0,0,0,0,2,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/get_all_mcp_tools_example/main.py,5590,,3,0,2,0,3,4,2,0,0,0,3,4,0,3,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/git_example/main.py,1504,,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0
