candidate_id,framework,pinned_commit,source_path,source_sha256,source_line,source_detail,frozen_corpus_disposition,adapter_id,effect_semantics,scenario,effect_contract_origin,external_network_required,public_profile_id,argument_schema,arguments,eligible
S1U-4436564d5d8727e7,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_types.py,6468ef1614c7dd4ae2e3a74a8982558f430f7de10c241709f6bfd03a31811a96,70,simple_function,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""x"", ""primitive_type"": ""int""}, {""name"": ""y"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT_INT""}","{""x"": 7, ""y"": 8}",True
S1U-44f2d48bb8b59db8,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/streamablehttp_custom_client_example/server.py,99ffc8e36edb28f00bbaf853e6c7bd5365a222b12cfa748715312af74fca212c,14,add,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""a"", ""primitive_type"": ""int""}, {""name"": ""b"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT_INT""}","{""a"": 7, ""b"": 8}",True
S1U-4686a99755437d3b,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/streamablehttp_example/server.py,6b890151e410ca4e30d639927210696173885518c38e22ed0e2d66c12b45148a,28,get_current_weather,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""city"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR""}","{""city"": ""v11a-55437d3b-0""}",True
S1U-4e28ddbd9e54440d,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/sse_example/server.py,e4a29d82db515a1d780b5720b27f2dda951f79687256473d24046a8fe36f1c89,27,get_current_weather,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""city"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR""}","{""city"": ""v11a-9e54440d-0""}",True
S1U-568837f72e2f53fa,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/sse_example/server.py,e4a29d82db515a1d780b5720b27f2dda951f79687256473d24046a8fe36f1c89,14,add,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""a"", ""primitive_type"": ""int""}, {""name"": ""b"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT_INT""}","{""a"": 7, ""b"": 8}",True
S1U-58565bdb36224a34,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/manager_example/mcp_server.py,0466ecd71f2324cb346b90432efda1eaad841a0eec39bb8580d8a34ea1dd7548,17,echo,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""message"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR""}","{""message"": ""v11a-36224a34-0""}",True
S1U-5b1b10293b8adc65,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_tools.py,296f5cc283614a27894e7b327ed40c7eff83c061bf0f4e4a24a378df8df2f44f,1231,_impl,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""x"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT""}","{""x"": 7}",True
S1U-6765d86d5cdf53cd,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/voice/static/main.py,1eae3423a15bd576e372351b8b8cee39ffae30e8d348f60599749329570893f2,35,get_weather,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""city"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR""}","{""city"": ""v11a-5cdf53cd-0""}",True
S1U-6cb216c5d7b98169,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/manager_example/mcp_server.py,0466ecd71f2324cb346b90432efda1eaad841a0eec39bb8580d8a34ea1dd7548,12,add,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""a"", ""primitive_type"": ""int""}, {""name"": ""b"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT_INT""}","{""a"": 7, ""b"": 8}",True
S1U-7a4c678b9d5f306a,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/handoffs/message_filter_streaming.py,087ef2be8f5877a9fb663b973ec9966ca7882c6b47abd021903918b6c7301d79,19,random_number_tool,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""max"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT""}","{""max"": 7}",True
