freeze_id,platform,descriptor_schema,catalog_epoch,logical_records,logical_bytes,physical_record_capacity,physical_bytes,padding_bytes,descriptor_bytes,registry_sha256,descriptor_encryption_build_ms,database_construction_ms,full_preprocessing_setup_ms,query_generation_ms,server_answer_ms,recovery_ms,upload_bytes,download_bytes,client_state_bytes,hint_bytes,peak_memory_bytes,queries,correct_queries,descriptor_authentication,expected_agent_id_match,fresh_repeated_queries,server_trace_private_field,backend,simplepir_commit,result_path
V8_V7_DESCRIPTOR_CANONICAL_20260828,Windows-local-Go-CGO,AgentDescriptorV7/7,20260828,1000,1024000,1000,1024000,0,1024,df800334f56462585837d42b029a12f34e31106d2c365db8538a57da0993569d,17.374,321.27,43.149,0.41059999999999997,0.1018,0.3062,2020,6592,8798208,6750208,34770944,5,5,True,True,True,False,OFFICIAL_SIMPLEPIR_FULL_PREPROCESSING,e9020b03bf2872c75b8954e749e32408b5db87ed,results_v8/pir_v7_descriptor/n_1000
V8_V7_DESCRIPTOR_CANONICAL_20260828,Windows-local-Go-CGO,AgentDescriptorV7/7,20260828,10000,10240000,10000,10240000,0,1024,2a81cec31da7cb271dcebbe61dfe97e0fd8ae978961f9ab0416521459e33ab22,262.255,3156.139,1260.934,4.2564,4.3602,1.3998000000000002,10024,13184,23740416,13500416,171814912,5,5,True,True,True,False,OFFICIAL_SIMPLEPIR_FULL_PREPROCESSING,e9020b03bf2872c75b8954e749e32408b5db87ed,results_v8/pir_v7_descriptor/n_10000
V8_V7_DESCRIPTOR_CANONICAL_20260828,Windows-local-Go-CGO,AgentDescriptorV7/7,20260828,100000,102400000,100001,102401024,1024,1024,6839bed1cb6546b6f7dd5d5db342baae368a58180df4afbcd544620ecdcf2056,4102.951,52411.768,29344.301,11.851,34.425,4.4037999999999995,36388,37180,75309056,38072320,1338664960,5,5,True,True,True,False,OFFICIAL_SIMPLEPIR_FULL_PREPROCESSING,e9020b03bf2872c75b8954e749e32408b5db87ed,results_v8/pir_v7_descriptor/n_100000
